cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
16340,1,1,ASDA,fresh_food,own_brand,,standard,500.0,g,,"Almonds, Walnuts, Cashews and Hazelnuts Nut Selection",,
16341,1,1,ASDA,fresh_food,own_brand,,value,125.3,g,,Roasted and Salted Cashew Nuts,,
16342,1,1,ASDA,fresh_food,own_brand,,standard,190.2,g,,"Nut Selection Almonds, Walnuts Cashews and Hazelnuts",,
16343,1,1,Sains,food_cupboard,own_brand,,standard,200.0,g,,Dry Roasted Jumbo Peanuts,,
16344,1,1,ASDA,fresh_food,branded,Sensations,,150.0,g,,Smoked Chilli Coated Sharing Peanuts,,
16345,1,1,ASDA,fresh_food,own_brand,,standard,199.3,g,,Roasted and Salted Pistachios,,
16346,1,1,ASDA,fresh_food,own_brand,,standard,200.9,g,,Roasted and Salted Almonds,,
16347,1,1,ASDA,fresh_food,own_brand,,standard,200.0,g,,Habanero Chilli Peanuts,,
16348,1,1,ASDA,fresh_food,own_brand,,standard,500.0,g,,Roasted and Salted Pistachios in Shell,,
16349,1,1,ASDA,fresh_food,own_brand,,standard,120.5,g,,Salt and Vinegar Chickpeas Sharing Snacks,,
16350,1,1,ASDA,fresh_food,own_brand,,standard,200.0,g,,Salt and Vinegar Peanuts,,
16351,1,1,ASDA,fresh_food,own_brand,,standard,120.2,g,,Sweet Chilli Flavour Edamame Beans,,
16352,1,1,ASDA,fresh_food,own_brand,,standard,200.0,g,,Sweet Chilli Flavour Crispy Peanuts,,
16353,1,1,ASDA,fresh_food,branded,Graze,,84.0,g,,Peri-Peri Crunch Snack Packs,,
16354,1,1,ASDA,fresh_food,own_brand,,standard,125.0,g,,Strawberry Yogurt Pieces,,
16355,1,1,ASDA,fresh_food,own_brand,,standard,500.0,g,,Salted Peanuts,,
16356,1,1,Sains,food_cupboard,branded,Kp,,250.0,g,,"Roasted Peanuts, Unsalted",,
16357,1,1,Tesco,food_cupboard,branded,Kp,,250.0,g,,Original Salted Peanuts,,
16358,1,1,ASDA,fresh_food,own_brand,,standard,150.0,g,,Sour Cream and Onion Flavour Baked Peanuts,,
16359,1,1,ASDA,fresh_food,own_brand,,standard,150.0,g,,Chinese Salt and Pepper Crunchy Baked Peanuts,,
16360,1,1,ASDA,fresh_food,own_brand,,standard,500.0,g,,Cashews,,
16361,1,1,ASDA,fresh_food,branded,Arla,,1000.0,ml,,LactoFREE Long Life Whole Milk Drink,,
16362,1,1,Morrisons,fresh_food,own_brand,,standard,2273.044,ml,,British Whole Milk,,
16363,1,1,Morrisons,fresh_food,own_brand,,standard,2260.3,ml,,British S…,,
16364,1,1,Morrisons,fresh_food,own_brand,,standard,2273.044,ml,,British Semi Skimmed Milk,,
16365,1,1,ASDA,fresh_food,own_brand,,standard,568.261,ml,,British Milk Skimmed,,
16366,1,1,ASDA,fresh_food,own_brand,,standard,568.261,ml,,British Milk Semi Skimmed,,
16367,1,1,Morrisons,free-from,branded,Arla,,1000.0,ml,,Lactofree Semi Skimmed Milk,,
16368,1,1,ASDA,fresh_food,branded,Delamere,,1000.0,ml,,Whole Goats Milk Chilled,,
16369,1,1,ASDA,fresh_food,own_brand,,standard,2272.7,ml,,Whole Milk,,
16370,1,1,ASDA,fresh_food,branded,Arla,standard,2273.044,ml,,Farmers Milk Semi Skimmed,,
16371,1,1,ASDA,fresh_food,own_brand,,standard,1139.7,ml,,Semi Skimmed Milk,,
16372,1,1,Morrisons,fresh_food,own_brand,,standard,1136.522,ml,,British Semi Skimmed Milk,,
16373,1,1,ASDA,fresh_food,own_brand,,standard,568.261,ml,,British Milk Whole,,
16374,1,1,ASDA,fresh_food,branded,Arla,standard,2273.044,ml,,Farmers Milk Whole,,
16375,1,1,ASDA,fresh_food,unbranded,,,400.0,ml,,Yazoo Chocolate Flavoured Milk,,
16376,1,1,ASDA,fresh_food,unbranded,,,400.0,ml,,Yazoo Vanilla Flavoured Milk,,
16377,1,1,ASDA,fresh_food,unbranded,,,333.3,ml,,Dunn's River Nurishment Chocolate Flavour Milk Drink,,
16378,1,1,ASDA,fresh_food,unbranded,,,333.3,ml,,Dunn's River Nurishment Strawberry Flavour Milk Drink,,
16379,1,1,ASDA,fresh_food,unbranded,,,333.3,ml,,Dunn's River Nurishment Banana Flavour Milk Drink,,
16380,1,1,ASDA,fresh_food,unbranded,,,1000.0,ml,,Laciate Longlife Milk,,
16381,1,1,ASDA,fresh_food,unbranded,,,1200.0,ml,,Yazoo Banana Milk Drink,,
16382,1,1,ASDA,fresh_food,unbranded,,,333.3,ml,,Dunn's River Nurishment Vanilla Flavour Milk Drink,,
16383,1,1,ASDA,fresh_food,unbranded,,,600.0,ml,,Cocio Chocolate Milk,,
16384,1,1,ASDA,fresh_food,unbranded,,,250.0,ml,,Chocomel Chocolate Flavoured Milk,,
16385,1,1,ASDA,fresh_food,unbranded,,,400.0,ml,,Yazoo Banana Milk Drink,,
16386,1,1,ASDA,fresh_food,unbranded,,,600.0,ml,,Cocio Dark Chocolate Milk,,
16387,1,1,ASDA,fresh_food,own_brand,,standard,6030.9,ml,6.0,Long Life Skimmed Milk,,
16388,1,1,ASDA,fresh_food,unbranded,,,235.0,ml,,Camelicious Long Life Whole Camel Milk,,
16389,1,1,ASDA,fresh_food,own_brand,,value,1000.0,ml,,Skimmed Long Life Milk,,
16390,1,1,ASDA,fresh_food,unbranded,,,,,,The Happy Egg Co 10 Large Eggs,,
16391,1,1,ASDA,fresh_food,unbranded,,,394.7,g,,Dunn's River Original Chocolate Flavoured Milk Drink,,
16392,1,1,ASDA,fresh_food,unbranded,,,400.0,g,,Dunn's River Original Strawberry Flavoured Milk Drink,,
16393,1,1,ASDA,fresh_food,unbranded,,,400.0,g,,Dunn's River Original Vanilla Flavoured Milk Drink,,
16394,1,1,ASDA,fresh_food,unbranded,,,394.7,g,,Dunn's River Original Banana Flavour Milk Drink,,
16395,1,1,ASDA,fresh_food,own_brand,,standard,6030.9,ml,6.0,Long Life Semi Skimmed Milk,,
16396,1,1,ASDA,fresh_food,unbranded,,,394.7,g,,Dunn's River Nurishment Original Milk Drink Vanilla Flavour,,
16397,1,1,ASDA,fresh_food,own_brand,,standard,,,,10 Big Eggs,,
16398,1,1,ASDA,fresh_food,own_brand,,value,,,,15 Eggs,,
16399,1,1,ASDA,fresh_food,own_brand,,value,1000.0,ml,,Semi Skimmed Long Life Milk,,
16400,1,1,ASDA,fresh_food,branded,Staveley,,,,,Large Eggs,,
16401,1,1,ASDA,fresh_food,unbranded,,,,,,Big and Fresh 10 Mixed Weight Eggs,,
16402,1,1,ASDA,fresh_food,own_brand,,standard,,,,6 Mixed Eggs,,
16403,1,1,ASDA,fresh_food,unbranded,,,,,,"The Happy Egg Co , 10 Medium Eggs",,
16404,1,1,ASDA,fresh_food,own_brand,,premium,,,,Golden Yolk Eggs,,
16405,1,1,ASDA,fresh_food,branded,Staveley,,,,,12 Large Eggs,,
