cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score,AUDIT_same_core_product,AUDIT_weight_ok,AUDIT_tier_ok,AUDIT_notes
8062,35320,Sains,Bunlimited 4 Classic Hot Dogs 280g,food_cupboard,,False,,280.0,g,,Bunlimited 4 Classic Hot Dogs,bunlimited 4 classic hot dogs,2.55,9.11,unbranded,2,2,unbranded,1.0,,,,
8162,8606,ASDA,ASDA Marjoram 13g,food_cupboard,,True,standard,13.0,g,,Marjoram,marjoram,1.0,77.0,own_brand,2,2,own_brand,1.0,,,,
8162,52864,Tesco,Tesco Marjoram 13G ..,food_cupboard,,True,standard,13.0,g,,Marjoram,marjoram,1.0,77.0,own_brand,2,2,own_brand,1.0,,,,
8179,8696,ASDA,ASDA Extra Special Greek Koroneiki Extra Virgin Olive Oil 500ml,food_cupboard,,True,premium,500.0,ml,,Greek Koroneiki Extra Virgin Olive Oil,greek koroneiki extra virgin olive oil,7.0,14.0,own_brand,2,2,own_brand,0.795135135135135,,,,
8179,34706,Sains,"Sainsbury's Greek Kalamata Extra Virgin Olive Oil, Taste the Difference 500ml",food_cupboard,,True,premium,500.0,ml,,Greek Kalamata Extra Virgin Olive Oil,greek kalamata extra virgin olive oil,8.4,16.8,own_brand,2,2,own_brand,0.795135135135135,,,,
8354,9821,ASDA,ASDA Extra Special Porcini Mushroom & Truffle Mezzelune,fresh_food,,True,premium,250.0,g,,Porcini Mushroom and Truffle Mezzelune,porcini mushroom and truffle mezzelune,3.25,13.0,own_brand,2,2,own_brand,0.7900626886463896,,,,
8354,56861,Tesco,Tesco Finest Porcini & Black Truffle Mezzelune 250G,fresh_food,,True,premium,250.0,g,,Porcini and Black Truffle Mezzelune,porcini and black truffle mezzelune,3.25,13.0,own_brand,2,2,own_brand,0.7900626886463896,,,,
8453,10349,ASDA,The BAKERY at ASDA 2 Belgian Buns,bakery,,True,standard,,,2.0,Belgian Buns,belgian buns,1.65,0.82,own_brand,2,2,cross_bucket,1.0,,,,
8453,53347,Tesco,Tesco 2 Belgian Buns,bakery,,True,standard,,,2.0,Belgian Buns,belgian buns,1.75,0.88,own_brand,2,2,cross_bucket,1.0,,,,
8697,27467,Morrisons,Sour Patch Kids Cola,food_cupboard,,False,,130.0,g,,Sour Patch Kids Cola,sour patch kids cola,1.5,11.5,unbranded,2,2,unbranded,0.9029411764705884,,,,
8697,36431,Sains,Sour Patch Kids Cola Sweets Bag 130g,food_cupboard,,False,,130.0,g,,Sour Patch Kids Cola Sweets Bag,sour patch kids cola sweets bag,1.5,11.5,unbranded,2,2,unbranded,0.9029411764705884,,,,
8838,13830,ASDA,Sesame Snaps with Coconut,food_cupboard,,False,,120.0,g,,Sesame Snaps with Coconut,sesame snaps with coconut,1.0,8.3,unbranded,2,2,unbranded,1.0,,,,
8838,17906,Morrisons,Sesame Snaps with Coconut,food_cupboard,,False,,120.0,g,,Sesame Snaps with Coconut,sesame snaps with coconut,0.99,8.2,unbranded,2,2,unbranded,1.0,,,,
9577,23457,Morrisons,Morrisons The Best Beef Stock,food_cupboard,,True,premium,440.0,ml,,Beef Stock,beef stock,2.49,5.5,own_brand,2,2,own_brand,1.0,,,,
9577,52041,Tesco,Tesco Finest Beef Stock 450Ml,food_cupboard,,True,premium,450.0,ml,,Beef Stock,beef stock,2.6,5.8,own_brand,2,2,own_brand,1.0,,,,
