ensemble_cluster_id,product_idx,supermarket,score,pass
13137,31139,Morrisons,0.9735,1
14301,14099,ASDA,0.9734,1
7501,52032,Tesco,0.9732,1
8365,26932,Morrisons,0.9731,1
9057,44583,Sains,0.973,1
12717,13250,ASDA,0.973,1
13969,31164,Morrisons,0.9729,1
2563,40124,Sains,0.9729,1
12437,18203,Morrisons,0.9728,1
9718,7392,ASDA,0.9727,1
2910,26794,Morrisons,0.9727,1
11124,15077,ASDA,0.9725,1
7847,20962,Morrisons,0.9725,1
3304,30542,Morrisons,0.9724,1
9258,61351,Tesco,0.9724,1
14093,26693,Morrisons,0.9722,1
9500,1536,ASDA,0.9721,1
13811,28406,Morrisons,0.9721,1
8717,54283,Tesco,0.9721,1
6175,51228,Tesco,0.9721,1
4551,50167,Tesco,0.972,1
5120,19337,Morrisons,0.972,1
8267,24822,Morrisons,0.9716,1
5581,49885,Tesco,0.9716,1
11990,3299,ASDA,0.9715,1
5648,57542,Tesco,0.9715,1
3964,19084,Morrisons,0.9714,1
2527,40590,Sains,0.9713,1
438,18856,Morrisons,0.9713,1
12974,28773,Morrisons,0.9713,1
7987,61202,Tesco,0.9712,1
10814,11834,ASDA,0.9712,1
8782,44964,Sains,0.971,1
6828,55574,Tesco,0.9709,1
12764,17835,Morrisons,0.9707,1
12628,17482,Morrisons,0.9707,1
10020,2529,ASDA,0.9705,1
14362,12304,ASDA,0.9702,1
12404,29392,Morrisons,0.9702,1
4191,60280,Tesco,0.9702,1
6346,25046,Morrisons,0.9701,1
14049,15264,ASDA,0.9701,1
8359,37806,Sains,0.9699,1
9340,3252,ASDA,0.9699,1
13440,14933,ASDA,0.9698,1
9254,64923,Tesco,0.9696,1
13275,24756,Morrisons,0.9696,1
14161,28354,Morrisons,0.9696,1
4747,60159,Tesco,0.9696,1
14416,7336,ASDA,0.9695,1
9495,63476,Tesco,0.9694,1
13772,15191,ASDA,0.9694,1
10560,12470,ASDA,0.9694,1
12423,31206,Morrisons,0.9694,1
11717,44952,Sains,0.9693,1
12830,29112,Morrisons,0.9693,1
4877,47816,Sains,0.9693,1
8918,49529,Tesco,0.9692,1
1283,59556,Tesco,0.9692,1
9716,1747,ASDA,0.9691,1
4346,23517,Morrisons,0.9691,1
4938,58458,Tesco,0.969,1
5594,43263,Sains,0.9689,1
12647,16130,ASDA,0.9688,1
3586,63933,Tesco,0.9687,1
11227,52314,Tesco,0.9687,1
12482,16248,ASDA,0.9686,1
10621,7042,ASDA,0.9686,1
422,45242,Sains,0.9685,1
12751,27142,Morrisons,0.9685,1
8482,64571,Tesco,0.9685,1
14324,11293,ASDA,0.9683,1
3752,37190,Sains,0.9683,1
12145,57916,Tesco,0.9681,1
5655,46852,Sains,0.968,1
10801,34694,Sains,0.968,1
11907,1185,ASDA,0.9679,1
353,61632,Tesco,0.9679,1
8777,52875,Tesco,0.9677,1
12722,8702,ASDA,0.9676,1
12400,7686,ASDA,0.9673,1
13597,14957,ASDA,0.9672,1
9679,14795,ASDA,0.9672,1
8479,64632,Tesco,0.9671,1
7817,23131,Morrisons,0.9671,1
12669,15270,ASDA,0.967,1
4918,55777,Tesco,0.9669,1
13665,5261,ASDA,0.9668,1
9584,40171,Sains,0.9668,1
12807,21728,Morrisons,0.9667,1
4634,23611,Morrisons,0.9666,1
1810,33012,Sains,0.9666,1
12594,18861,Morrisons,0.9664,1
2603,25823,Morrisons,0.9663,1
3982,20202,Morrisons,0.9662,1
12982,29111,Morrisons,0.9661,1
13569,24757,Morrisons,0.9661,1
13341,24542,Morrisons,0.9658,1
9464,14644,ASDA,0.9655,1
13195,23829,Morrisons,0.9653,1
2792,17891,Morrisons,0.9653,1
13294,25260,Morrisons,0.9652,1
3269,52058,Tesco,0.9652,1
1572,63787,Tesco,0.9652,1
10804,62410,Tesco,0.9651,1
10271,12786,ASDA,0.9651,1
8401,28262,Morrisons,0.965,1
12463,9669,ASDA,0.9648,1
11951,14708,ASDA,0.9648,1
13783,19075,Morrisons,0.9648,1
9593,7198,ASDA,0.9647,1
13629,19745,Morrisons,0.9647,1
2684,25440,Morrisons,0.9644,1
13084,30177,Morrisons,0.9644,1
12758,31064,Morrisons,0.9643,1
3829,50981,Tesco,0.9643,1
13774,9822,ASDA,0.9642,1
6715,52318,Tesco,0.9639,1
12776,3452,ASDA,0.9638,1
8108,46123,Sains,0.9638,1
4041,53753,Tesco,0.9638,1
3859,24150,Morrisons,0.9636,1
9750,9860,ASDA,0.9636,1
3554,44548,Sains,0.9635,1
13613,16124,ASDA,0.9632,1
8699,26706,Morrisons,0.9632,1
3593,45304,Sains,0.9632,1
13687,16182,ASDA,0.9631,1
4665,38059,Sains,0.9631,1
13165,3496,ASDA,0.963,1
10362,13188,ASDA,0.9628,1
726,56931,Tesco,0.9627,1
13525,27931,Morrisons,0.9624,1
6761,38652,Sains,0.9624,1
8361,58459,Tesco,0.9621,1
11321,45860,Sains,0.962,1
11632,608,ASDA,0.9619,1
8257,39200,Sains,0.9618,1
11215,46610,Sains,0.9618,1
7126,30763,Morrisons,0.9618,1
10477,7666,ASDA,0.9617,1
11809,15862,ASDA,0.9617,1
9551,1723,ASDA,0.9617,1
8318,30713,Morrisons,0.9613,1
7660,56967,Tesco,0.9612,1
9826,9428,ASDA,0.9612,1
12746,8729,ASDA,0.9611,1
8853,20501,Morrisons,0.9611,1
13004,3115,ASDA,0.961,1
8050,59376,Tesco,0.9608,1
9958,3673,ASDA,0.9607,1
13715,15761,ASDA,0.9606,1
10955,16659,ASDA,0.9605,1
9595,50519,Tesco,0.9605,1
13449,14885,ASDA,0.9602,1
1956,18285,Morrisons,0.9601,1
4904,46927,Sains,0.96,1
12789,31119,Morrisons,0.9599,1
13606,25014,Morrisons,0.9598,1
4416,55242,Tesco,0.9598,1
4020,53956,Tesco,0.9597,1
9150,64940,Tesco,0.9594,1
14345,11245,ASDA,0.9594,1
13448,30280,Morrisons,0.9592,1
10032,52204,Tesco,0.9591,1
9878,15347,ASDA,0.959,1
11333,5741,ASDA,0.9588,1
2515,62737,Tesco,0.9587,1
1485,58316,Tesco,0.9586,1
13016,3793,ASDA,0.9585,1
1194,24027,Morrisons,0.9584,1
4537,46812,Sains,0.9584,1
14140,14630,ASDA,0.9583,1
10847,16024,ASDA,0.9583,1
3977,57216,Tesco,0.9577,1
9667,1458,ASDA,0.9577,1
13562,28089,Morrisons,0.9576,1
14022,14760,ASDA,0.9576,1
11133,16920,ASDA,0.9576,1
9925,11529,ASDA,0.9576,1
13046,3198,ASDA,0.9572,1
9248,11792,ASDA,0.9571,1
10685,34487,Sains,0.9568,1
14133,30172,Morrisons,0.9568,1
2863,54548,Tesco,0.9568,1
2707,26745,Morrisons,0.9563,1
9989,3851,ASDA,0.9562,1
13188,15349,ASDA,0.9562,1
13350,16897,ASDA,0.9562,1
10411,8795,ASDA,0.9562,1
13402,11389,ASDA,0.9562,1
14403,1391,ASDA,0.9561,1
8708,56274,Tesco,0.9561,1
9776,1421,ASDA,0.956,1
83,32252,Sains,0.956,1
13426,24797,Morrisons,0.956,1
11426,44694,Sains,0.9557,1
3219,59588,Tesco,0.9555,1
11871,7764,ASDA,0.9555,1
11231,10782,ASDA,0.9553,1
5033,20900,Morrisons,0.9552,1
7858,54433,Tesco,0.9551,1
2501,49210,Sains,0.9551,1
4957,23754,Morrisons,0.955,1
3235,31242,Morrisons,0.955,1
8364,45970,Sains,0.9548,1
1286,27842,Morrisons,0.9547,1
7813,37536,Sains,0.9546,1
8242,24775,Morrisons,0.9546,1
4951,22927,Morrisons,0.9544,1
9703,7325,ASDA,0.9543,1
