cluster_id,product_idx,supermarket,names,unit_value,unit_type,match_type,avg_pairwise_score,cluster_size,verdict,confidence,reason
1778,54412,Tesco,Nature Valley Crunchy Canadian Maple Syrup 5 x 42g (210g),210.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
1792,3512,ASDA,Kellogg's Special K Juicy Red Berry Bars,130.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
1792,22573,Morrisons,Kellogg's Special K Juicy Red Berry Bars,125.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
1792,32758,Sains,Kellogg's Special K Juicy Red Berry Snack Bars 6x21.5g,129.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
1792,53842,Tesco,Kellogg's Special K Juicy Red Berry Snack Bars 6x21.5g,129.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
1997,3876,ASDA,Batchelors Chef's Special Pasta 'n' Sauce Caramelised Onion and Smoky Bacon Flavour 99g,99.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
1997,37430,Sains,Batchelors Pasta 'n' Sauce Chefs Special Caramelised Onion & Smoky Bacon Flavour Pasta Sachet 99g,99.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
1997,62704,Tesco,Batchelors Pasta & Sauce Caramelised Onion & Smoky Bacon 99G,99.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2176,4262,ASDA,The Distiller Passion Fruit Martini 250ml,250.0,ml,unbranded,0.0,2,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2176,38069,Sains,Tribeology Premium Cocktails Passion Fruit Martini 250ml,250.0,ml,unbranded,0.0,2,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2298,4448,ASDA,Gordon's Premium Pink Gin,1000.0,ml,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
