supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name,product_idx,known_brand_clean,product_type,has_unit,has_pack,cat_norm,cluster_size,cluster_id,match_type,avg_pairwise_score
ASDA,1.25,2.5,kg,ASDA Seedless Raisins,20240413,food_cupboard,True,False,ASDA Seedless Raisins,ASDA,standard,,,,,500.0,g,,True,,,{'prep_produce': ['seedless']},Seedless Raisins,seedless raisins,2110,,own_brand,True,False,food_cupboard,4,969,own_brand,0.0
Morrisons,1.99,3.98,kg,Morrisons Raisins,20240413,food_cupboard,True,False,Morrisons Raisins,Morrisons,standard,,,,,500.0,g,,True,,,,Raisins,raisins,22004,,own_brand,True,False,food_cupboard,4,969,own_brand,0.0
Sains,1.85,3.7,kg,"Sainsbury's Raisins, Seedless 500g",20240413,food_cupboard,True,False,"Sainsbury's Raisins, Seedless 500g",Sainsbury's,standard,,,,,500.0,g,,False,,,{'prep_produce': ['seedless']},"Raisins, Seedless",raisins seedless,31515,,own_brand,True,False,food_cupboard,4,969,own_brand,0.0
Tesco,1.85,3.7,kg,Tesco Seedless Raisins 500G,20240413,food_cupboard,True,False,Tesco Seedless Raisins 500G,Tesco,standard,,,,,500.0,g,,False,,,{'prep_produce': ['seedless']},Seedless Raisins,seedless raisins,59524,,own_brand,True,False,food_cupboard,4,969,own_brand,0.0
ASDA,2.6,3.5,l,Shloer Zero White Grape Sparkling Zero Calorie Fruit Drink,20240413,drinks,False,False,Shloer Zero White Grape Sparkling Zero Calorie Fruit Drink,,,,Shloer,,,750.0,ml,,True,,,{'bakery_type': ['white']},Zero White Grape Sparkling Zero Calorie Fruit Drink,shloer zero white grape sparkling zero calorie fruit drink,2663,Shloer,branded,True,False,drinks,3,1289,branded,0.0
Morrisons,1.75,2.3,l,Shloer Zero White Grape Drink,20240413,drinks,False,False,Shloer Zero White Grape Drink,,,,Shloer,,,750.0,ml,,True,,,{'bakery_type': ['white']},Zero White Grape Drink,shloer zero white grape drink,27711,Shloer,branded,True,False,drinks,3,1289,branded,0.0
Tesco,1.75,2.3,l,Shloer Zero Calorie Sparkling White Grape 750Ml,20240413,drinks,False,False,Shloer Zero Calorie Sparkling White Grape 750Ml,,,,Shloer,,,750.0,ml,,False,,,{'bakery_type': ['white']},Zero Calorie Sparkling White Grape,shloer zero calorie sparkling white grape,50668,Shloer,branded,True,False,drinks,3,1289,branded,0.0
ASDA,0.9,4.5,kg,Maryland Choc & Caramel 200g,20240413,food_cupboard,False,False,Maryland Choc & Caramel 200g,,,,Maryland,,,200.0,g,,False,,,,Choc and Caramel,maryland choc and caramel,3355,Maryland,branded,True,False,food_cupboard,3,1690,branded,0.0
Morrisons,0.9,4.5,kg,Maryland Cookies Caramel,20240413,food_cupboard,False,False,Maryland Cookies Caramel,,,,Maryland,,,200.0,g,,True,,,,Cookies Caramel,maryland cookies caramel,20998,Maryland,branded,True,False,food_cupboard,3,1690,branded,0.0
Sains,1.5,7.5,kg,Maryland Choc & Caramel 200g,20240413,food_cupboard,False,False,Maryland Choc & Caramel 200g,,,,Maryland,,,200.0,g,,False,,,,Choc and Caramel,maryland choc and caramel,37943,Maryland,branded,True,False,food_cupboard,3,1690,branded,0.0
ASDA,1.1,8.8,kg,Bakery Delights Bakery Delights Crispbakes,20240413,food_cupboard,False,False,Bakery Delights Bakery Delights Crispbakes,,,,,,,125.0,g,,True,,,,Bakery Delights Bakery Delights Crispbakes,bakery delights bakery delights crispbakes,3460,,unbranded,True,False,food_cupboard,3,1763,unbranded,0.0
Sains,1.15,9.2,kg,Bakery Delights Crispbakes 125g,20240413,food_cupboard,False,False,Bakery Delights Crispbakes 125g,,,,,,,125.0,g,,False,,,,Bakery Delights Crispbakes,bakery delights crispbakes,35840,,unbranded,True,False,food_cupboard,3,1763,unbranded,0.0
Tesco,1.1,8.8,kg,Bakery Delights Crisp Bakes 125G,20240413,food_cupboard,False,False,Bakery Delights Crisp Bakes 125G,,,,,,,125.0,g,,False,,,,Bakery Delights Crisp Bakes,bakery delights crisp bakes,53294,,unbranded,True,False,food_cupboard,3,1763,unbranded,0.0
ASDA,2.5,11.9,kg,Nature Valley Crunchy Canadian Maple Syrup Cereal Bars,20240413,food_cupboard,False,False,Nature Valley Crunchy Canadian Maple Syrup Cereal Bars,,,,Nature Valley,,,210.0,g,,True,,,{'texture': ['crunchy']},Crunchy Canadian Maple Syrup Cereal Bars,nature valley crunchy canadian maple syrup cereal bars,3492,Nature Valley,branded,True,False,food_cupboard,3,1778,branded,0.0
Morrisons,2.5,11.9,kg,Nature Valley Crunchy Oats…,20240413,food_cupboard,False,True,Nature Valley Crunchy Oats…,,,,Nature Valley,,,210.0,g,,True,,,{'texture': ['crunchy']},Crunchy Oats…,nature valley crunchy oats,22983,Nature Valley,branded,True,False,food_cupboard,3,1778,branded,0.0
Tesco,1.75,8.3,kg,Nature Valley Crunchy Canadian Maple Syrup 5 x 42g (210g),20240413,food_cupboard,False,False,Nature Valley Crunchy Canadian Maple Syrup 5 x 42g (210g),,,,Nature Valley,5.0,count_x_size,210.0,g,,False,,,{'texture': ['crunchy']},Crunchy Canadian Maple Syrup,nature valley crunchy canadian maple syrup,54412,Nature Valley,branded,True,True,food_cupboard,3,1778,branded,0.0
ASDA,1.35,10.2,kg,Kellogg's Special K Juicy Red Berry Bars,20240413,food_cupboard,False,False,Kellogg's Special K Juicy Red Berry Bars,,,,Kellogg's,,,130.0,g,,True,,,,Special K Juicy Red Berry Bars,kelloggs special k juicy red berry bars,3512,Kellogg's,branded,True,False,food_cupboard,4,1792,branded,0.0
Morrisons,1.4,10.9,kg,Kellogg's Special K Juicy Red Berry Bars,20240413,food_cupboard,False,False,Kellogg's Special K Juicy Red Berry Bars,,,,Kellogg's,,,125.0,g,,True,,,,Special K Juicy Red Berry Bars,kelloggs special k juicy red berry bars,22573,Kellogg's,branded,True,False,food_cupboard,4,1792,branded,0.0
Sains,1.35,10.5,kg,Kellogg's Special K Juicy Red Berry Snack Bars 6x21.5g,20240413,food_cupboard,False,False,Kellogg's Special K Juicy Red Berry Snack Bars 6x21.5g,,,,Kellogg's,6.0,count_x_size,129.0,g,,False,,,,Special K Juicy Red Berry Snack Bars,kelloggs special k juicy red berry snack bars,32758,Kellogg's,branded,True,True,food_cupboard,4,1792,branded,0.0
Tesco,1.3,10.1,kg,Kellogg's Special K Juicy Red Berry Snack Bars 6x21.5g,20240413,food_cupboard,False,False,Kellogg's Special K Juicy Red Berry Snack Bars 6x21.5g,,,,Kellogg's,6.0,count_x_size,129.0,g,,False,,,,Special K Juicy Red Berry Snack Bars,kelloggs special k juicy red berry snack bars,53842,Kellogg's,branded,True,True,food_cupboard,4,1792,branded,0.0
ASDA,1.0,10.1,kg,Batchelors Chef's Special Pasta 'n' Sauce Caramelised Onion and Smoky Bacon Flavour 99g,20240413,food_cupboard,False,False,Batchelors Chef's Special Pasta 'n' Sauce Caramelised Onion and Smoky Bacon Flavour 99g,,,,Batchelors,,,99.0,g,,False,,,,Chef's Special Pasta 'n' Sauce Caramelised Onion and Smoky Bacon Flavour,batchelors chefs special pasta n sauce caramelised onion and smoky bacon flavor,3876,Batchelors,branded,True,False,food_cupboard,3,1997,branded,0.0
