supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Tesco,1.7,5.7,kg,Tesco Beetroot Salad 300g,20240413,fresh_food,True
Tesco,0.45,1.0,kg,Hearty Food Co. Curry Sauce 440G,20240413,food_cupboard,True
Sains,2.25,1.8,l,Lipton Ice Tea Lemon Flavoured Still Soft Drink 1.25L,20240413,drinks,False
ASDA,1.0,1.0,unit,George Home 2L Grip Measuring Jug,20240413,food_cupboard,True
Sains,3.8,10.86,kg,"Sainsbury's Extra Mature Cumbrian Cheddar, Taste the Difference 350g",20240413,fresh_food,True
ASDA,2.0,4.0,l,Kopparberg Premium Cider with Raspberry 500ml,20240413,drinks,False
Tesco,2.25,9.0,kg,Lactofree Spreadable 250G,20240413,fresh_food,False
ASDA,2.0,7.6,kg,Nando's Peri-Peri Medium Quick Marinade,20240413,food_cupboard,False
Morrisons,11.0,14.63,l,Baron Philippe de Rothsch…,20240412,drinks,False
ASDA,2.0,16.0,kg,Ryvita Crackerbread Wholegrain Crackers 125g,20240413,food_cupboard,False
Morrisons,3.25,0.7,l,Highland Spring Still Water Sports Cap,20240413,drinks,False
Tesco,3.25,8.12,kg,Tesco Macaroni Cheese 400G,20240413,fresh_food,True
ASDA,2.0,13.3,kg,ASDA Vegetable Bouillon Mix,20240413,food_cupboard,True
Sains,4.5,3.4,l,Get More Vits Vitamin D Sparkling Mango & Passionfruit 4x330ml,20240413,drinks,False
Tesco,2.0,4.9,kg,Tesco Raspberry Trifles 405G (3X135g),20240302,fresh_food,True
Morrisons,2.0,4.0,l,Brothers App Solutely Pear Fect Cider,20240413,drinks,False
ASDA,3.3,19.41,kg,This Isn't Chicken Shawarma 170g,20240413,free-from,False
ASDA,1.0,2.47,kg,Branston Baked Beans with Sausages in Tomato Sauce,20240413,food_cupboard,False
Sains,1.9,29.69,kg,Nissin Cup Noodles 5 Spices Beef Flavour Instant Ramen Style Pot 64g,20240413,food_cupboard,False
ASDA,1.75,4.6,kg,Fage Strawberry Thick & Smooth Strained Yoghurt,20240413,fresh_food,False
Sains,2.0,6.6,kg,Sainsbury's Cheesy Bean Slices x2 300g,20240413,fresh_food,True
Sains,2.0,4.0,kg,SO Organic Broccoli 500g,20240413,free-from,False
Tesco,2.5,0.42,unit,Cadbury Mini Egg Choc Cakes 6 pack,20240326,bakery,False
ASDA,1.25,8.3,kg,Lindahls Pro + Kvarg Banoffee Pie,20240413,fresh_food,False
Sains,2.5,13.5,kg,Sainsbury's Free From Raspberry Butterfly Cakes 185g,20240413,free-from,True
Sains,0.9,2.3,kg,"Sainsbury's Rice Pudding, Creamed 400g",20240413,food_cupboard,True
ASDA,2.5,2.5,unit,George Home Red Alphabet Glass Mug - G,20240413,drinks,True
Sains,0.59,3.3,kg,Sainsbury's Wholegrain Mustard 180g,20240413,food_cupboard,True
Tesco,1.49,17.3,kg,Batchelors Cup A Soup Chicken & Leek 4 Pack 86G,20240413,food_cupboard,False
Tesco,4.5,11.25,kg,Tesco Fire Pit 10 Sweet & Smoky Beef Kebabs 400G,20240413,fresh_food,True
Sains,1.8,7.2,l,Bacardi Mango Mojito Premix Rum Cocktail 25cl,20240413,drinks,False
Sains,5.0,10.2,kg,"Sainsbury's Strawberry & Clotted Cream Cake, Taste the Difference 490g",20240222,bakery,True
Sains,2.64,5.81,kg,Sainsbury's Beef Burgers With Onion x8 454g,20240413,frozen,True
Sains,4.4,33.3,kg,"Starbucks by Nescafe Dolce Gusto Madagascar Vanilla Macchiato Coffee Pods, 12 Pods Per Box",20240201,drinks,False
Tesco,10.0,4.0,l,All Shook Up Mixed Sharing Pack Cocktail Cans 10x250ml,20240413,drinks,False
Sains,3.0,10.0,kg,Sainsbury's White Red & Black Quinoa 300g,20240413,food_cupboard,True
ASDA,1.0,28.6,kg,Muscle Moose The Dinky Protein Bar Chocolate Donut Flavour,20240413,food_cupboard,False
Tesco,2.0,2.0,kg,Tesco Marmalade Oranges Pack 1Kg,20240130,fresh_food,True
Tesco,4.0,10.0,kg,The Gym Kitchen Piri Piri Chicken 400G,20240413,fresh_food,False
Morrisons,1.75,17.5,kg,Dr. Oetker Dark Chocolate Bar,20240413,food_cupboard,False
Morrisons,4.5,9.0,l,Baskin Robbins Cool Mint Cookie Ice Cream,20240413,frozen,False
Morrisons,7.25,29.0,kg,Illy Espresso Ground Coffee,20240413,food_cupboard,False
Tesco,2.25,4.96,kg,Tesco Plant Chef 8 Meat Free Burgers 454G,20240413,frozen,True
ASDA,1.4,6.36,kg,Ben's Original Pilau Microwave Rice,20240413,food_cupboard,False
ASDA,2.5,0.42,unit,ASDA Extra Special 6 All-Butter Pastry Cases,20240413,food_cupboard,True
Tesco,6.25,4.74,l,Brewdog Punk Ipa 4X330ml,20240413,drinks,False
Sains,16.5,23.57,l,Kahlua Coffee Liqueur 70cl,20240413,drinks,False
ASDA,4.5,18.0,kg,The Lions Kingdom 2 Ostrich Sous-Vide Steaks 250g,20240413,frozen,False
Sains,1.3,16.3,kg,Sainsbury's Sweet & Smoky BBQ Chicken Breast Chunks 80g,20240329,fresh_food,True
Tesco,2.15,15.1,l,Tropical Sun Jamaican Scotch Bonnet Pepper Sauce 142ml,20240413,food_cupboard,False
Sains,1.0,22.2,kg,Walkers Less Salt Mild Cheese & Onion Crisps 45g,20240413,food_cupboard,False
Morrisons,4.49,5.97,l,Radacini Blanc De Noirs,20240413,drinks,False
ASDA,2.5,2.5,unit,George Home Blue Bubble Hi-Ball Glass,20240413,drinks,True
Sains,12.0,23.4,kg,KitKat Caramel Cookie Collision Incredible Giant Easter Egg 512.7g,20240330,free-from,False
ASDA,1.9,12.7,kg,Jacob's Savours Thins Sour Cream & Chive Crackers 150g,20240413,food_cupboard,False
ASDA,1.75,5.47,kg,Chicago Town Tiger Crust Double Pepperoni Pizza,20240413,frozen,True
Morrisons,4.0,10.7,kg,Guylian The Original Seashells Chocolate Box,20240201,food_cupboard,False
Morrisons,0.99,0.99,kg,Morrisons Mixed Vegetables,20240406,frozen,True
ASDA,0.99,10.0,kg,Indus Garlic Powder,20240413,food_cupboard,False
Morrisons,4.25,2.1,l,Flora Pure Sunflower Oil with Vitamin E,20240413,food_cupboard,False
Tesco,6.5,26.0,kg,Guylian Seashells Boxed Chocolates 250G,20240413,food_cupboard,False
ASDA,1.7,0.17,unit,ASDA Ice Cream Choc Sticks,20240109,frozen,True
Sains,1.75,7.61,kg,Mr Kipling Battenberg Cake 230g,20240413,bakery,False
Morrisons,1.79,1.79,unit,Irwin's Together Cinnamon…,20240219,bakery,False
Morrisons,0.95,0.95,unit,Morrisons Loose Pomegranate,20240320,fresh_food,True
Tesco,1.9,10.0,l,Blue Dragon Rich Hoisin Sauce 190Ml,20240413,food_cupboard,False
ASDA,1.95,13.9,kg,Olly's Pretzels Thins Sour Cream & Onion Pretzel Thins,20240413,food_cupboard,False
ASDA,0.45,3.0,kg,ASDA Grated Carrot,20240413,fresh_food,True
Morrisons,1.0,12.5,kg,Lindt Milk Chocolate Mini Eggs Bag,20240403,food_cupboard,False
Tesco,5.75,14.4,kg,Milo Instant Malt Chocolate Drinking Powder Tin Ghanaian 400g,20240413,food_cupboard,False
Sains,1.1,3.7,kg,Sainsbury's Deli-Style Traditional Coleslaw 300g,20240413,fresh_food,True
ASDA,1.95,10.8,kg,Ginsters Chicken & Bacon Pasty,20240413,fresh_food,False
ASDA,2.5,2.5,unit,George Home Smoked Cappuccino Mug,20240413,drinks,True
Sains,1.0,4.0,l,Ssh! Indulgent Pot Au Choc Milkshake 250ml,20240315,fresh_food,False
Sains,3.0,12.5,kg,Sainsbury's Double Chocolate Brownie Mini Bites 240g,20240222,bakery,True
Sains,2.5,20.0,kg,Twinings English Breakfast Loose Tea 125g,20240413,food_cupboard,False
Tesco,1.3,23.6,kg,Tesco Vegetable Sushi Snack 55G,20240412,fresh_food,True
ASDA,1.3,1.3,unit,ASDA Organic Seasonal Cabbage (Colour and Variety may vary),20240413,fresh_food,True
Sains,30.0,42.86,l,Sipsmith London Limited Edition Very Berry Gin 700ml,20240413,drinks,False
ASDA,0.7,0.4,l,ASDA Cola 2 Litres,20240413,drinks,True
Sains,1.25,12.5,kg,Ritter Sport Orange 100g,20240413,food_cupboard,False
ASDA,3.0,4.69,kg,Chicago Town Takeaway Stuffed Crust Magnificent Meat Feast Large Pizza,20240413,frozen,False
ASDA,5.0,20.0,l,Mazzetti Organic Balsamic Vinegar of Modena,20240413,food_cupboard,False
Sains,2.75,18.33,kg,Wasabi Home Bento Spicy Korean Chicken Pops 150g,20240413,fresh_food,False
Morrisons,23.0,32.85,l,Masons Dry Yorkshire Gin,20240413,drinks,False
ASDA,10.0,10.0,unit,George Home Green Simplicity 24cm Frying Pan,20240405,fresh_food,True
Morrisons,2.15,4.5,kg,Kellogg's Chocolate Wheats,20240413,food_cupboard,False
Tesco,4.0,8.0,l,Belvoir Cordial E/Flower Rose 500ml,20240413,drinks,False
Tesco,8.0,53.33,l,Beams The Whisky Collection 3 x 5cl Gift Set,20240413,drinks,False
Morrisons,13.25,8.8,kg,Yorkshire Tea 480 Bags,20240413,food_cupboard,False
Sains,3.5,14.58,kg,"Sainsbury's Unsmoked Air Dried Wiltshire Cured Back Bacon Rashers, Taste the Difference x8 240g",20240413,fresh_food,True
Tesco,3.5,7.0,kg,Nesquik Strawberry Flavoured Milkshake Powder Tub 500g,20240413,drinks,False
Sains,39.0,51.87,l,Piper Heidsieck Brut NV Champagne 75cl,20240413,drinks,False
Sains,3.9,8.6,kg,Garner's Sweet Pickled Baby Onions 454g,20240413,food_cupboard,False
Sains,0.62,9.5,kg,Goong Instant Soup Gold Chicken 65g,20240413,food_cupboard,False
Tesco,1.0,4.0,kg,Tesco Scottish Rough Oatcakes 250G,20240413,food_cupboard,True
Morrisons,8.0,10.64,l,Barefoot Pinot Grigio White Wine,20240413,drinks,False
ASDA,22.0,31.43,l,Absolut Wild Berri Berry Flavoured Swedish Vodka,20240311,drinks,False
Tesco,3.25,10.83,kg,Tesco 2 Breaded Cod Fillets 300G,20240322,fresh_food,True
ASDA,1.0,1.0,unit,George Green Easter Tumbler,20240331,fresh_food,True
ASDA,1.5,10.7,kg,Rowntree's Randoms Juicers Sweets Sharing Bag,20240413,food_cupboard,False
Tesco,4.0,17.8,kg,Tesco Finest Belgian Dark Chocolate Brazil Nuts 225G,20240413,fresh_food,True
Morrisons,2.49,6.23,kg,Kershaw's The All Day Big Breakfast,20240413,frozen,False
ASDA,4.0,4.0,unit,George Home Aqua Tracker Bottle,20240413,drinks,True
Sains,3.5,10.6,kg,Nestle KitKat Milk Chocolate Cereal 330g,20240413,food_cupboard,False
ASDA,1.39,0.69,kg,JUST ESSENTIALS by ASDA White Potatoes 2kg,20240413,fresh_food,True
Morrisons,1.35,6.8,kg,Morrisons Strawberry Bon Bons,20240413,food_cupboard,True
Morrisons,1.65,16.5,kg,Milky Way Magic Stars Milk Ch…,20240413,food_cupboard,False
Morrisons,4.25,7.7,kg,Jack Daniel's Gluten Free Original BBQ Sauce,20240413,free-from,False
Tesco,1.65,25.38,kg,Kabuto Noodles Chilli Chicken Ramen 65G,20240413,food_cupboard,False
Tesco,4.5,26.5,kg,Tesco Finest 10 Prawn Lollipops 170g,20240413,frozen,True
Tesco,6.5,14.77,kg,Birds Eye 4 Large Breaded Cod Fillets 440G,20240413,frozen,False
ASDA,1.9,23.8,kg,Knorr Beef Stock Cubes,20240413,food_cupboard,False
Sains,3.25,8.13,kg,"Sainsbury's Beef Lasagne, Taste the Difference Ready Meal For 1 400g",20240413,fresh_food,True
ASDA,2.75,6.06,kg,ASDA 8 Succulent Turkey Sausages,20240413,fresh_food,True
Sains,1.6,6.4,l,Arla Lactofree Cream 250ml,20240413,fresh_food,False
Sains,2.1,2.1,l,Oatly Oat Drink Light Chilled 1L,20240413,food_cupboard,False
Sains,1.0,3.13,kg,Stamford Street Co. Frozen Breaded British Chicken Nuggets 320g,20240413,frozen,False
Tesco,1.35,6.8,kg,Tesco Cheddar Cheese & Chive Dip 200G,20240413,fresh_food,True
Tesco,18.5,26.43,l,Gordon's Tropical Passionfruit Gin Bottle 37.5% Vol 70Cl,20240121,drinks,False
ASDA,1.85,1.8,l,Robinsons Apple & Blackcurrant Squash No Added Sugar,20240413,drinks,False
Morrisons,0.9,5.6,kg,Muller Light Banana and Custard Fat Free Yogurt,20240413,fresh_food,False
Tesco,3.5,2.65,l,Stella Artois Premium Alcohol Free Lager Beer 4X330ml,20240413,drinks,False
Tesco,2.5,16.67,kg,Castello Blue Cheese 150G,20240413,fresh_food,False
ASDA,8.75,116.64,l,Gordon Ramsay Intenso Rosso,20240413,drinks,False
ASDA,3.0,10.5,kg,Clipper Organic Everyday Tea 80 Tea bags,20240413,drinks,False
Tesco,1.25,3.1,kg,Warburtons Milk Roll Sliced White Bread 400G,20240413,bakery,False
Sains,11.0,5.64,l,SlimFast Ready to Drink Meal Replacement Shake Chocolate Flavour 6 meals 325ml,20240413,free-from,False
Morrisons,5.5,18.34,kg,Gressingham Duck Breast Fillets,20240413,fresh_food,False
Sains,2.0,33.3,kg,Grenade Carb Killa Chocolate Chip Salted Caramel Bar 60g,20240413,food_cupboard,False
Morrisons,20.5,29.29,l,Disaronno Amaretto,20240413,drinks,False
Morrisons,23.0,32.86,l,Red Leg Spiced Rum,20240413,drinks,False
Tesco,1.3,8.0,kg,Tesco Pitted Green Olives Reduce Salt 340G,20240413,food_cupboard,True
Tesco,2.85,9.5,kg,Tesco Prawn Layered Salad 300G,20240413,fresh_food,True
Sains,22.0,29.26,l,"Sainsbury's Demi-sec Champagne, Non Vintage 75cl",20240413,drinks,True
Tesco,1.5,1.5,unit,Tesco Flat Leaf Parsley Medium Pot,20240413,fresh_food,True
Sains,3.0,7.2,kg,Betty Crocker Chocolate Fudge Brownie Mix 415g,20240413,food_cupboard,False
ASDA,1.25,4.28,kg,JUST ESSENTIALS by ASDA Pepperoni Pizza,20240413,fresh_food,True
ASDA,3.0,10.0,kg,ASDA White Black & Red Quinoa,20240413,food_cupboard,True
ASDA,1.5,0.12,unit,George Home Happy Birthday Candles,20240413,bakery,True
Tesco,2.25,5.6,kg,Maggi Authentic Indian Masala Chilli Sauce 400g,20240413,food_cupboard,False
Tesco,4.25,17.71,kg,Itsu Teriyaki Chick'n Vegan Gyoza 240G,20240413,frozen,False
Morrisons,1.99,11.7,kg,Ginsters Cheddar & Onion Slice,20240413,fresh_food,False
Tesco,3.5,8.45,kg,Discover-In Hoisin Chicken Bao Bun Kit 414g,20240413,frozen,False
ASDA,18.0,18.0,unit,George Home Yellow Fast Boil Textured Kettle GTK101Y-21,20240413,drinks,True
Tesco,2.5,25.0,kg,Tony's Chocolonely Littl' Bits Triple chocolate mix 100g,20240413,food_cupboard,False
Tesco,1.5,10.0,kg,Sensations Crushed Sea Salt & Black Peppercorn Flavour Potato Crisps 150g,20240413,food_cupboard,False
Morrisons,0.39,0.39,unit,Market Street Salad Cress,20240320,fresh_food,False
Sains,11.0,0.37,unit,Optibac Kids Strawberry Gummies x30,20240413,free-from,False
Sains,5.5,12.9,l,Ben & Jerry's Sundae Ice Cream Tub Marshmallow & S'more 427ml,20240413,frozen,False
Morrisons,26.0,37.14,l,Jaffa Cake Gin,20240413,drinks,False
ASDA,1.5,23.4,kg,Patak's Plain Pappadums x 8,20240413,food_cupboard,False
Sains,3.55,10.14,kg,Sainsbury's British Fresh Chicken Thigh Fillets In a Hot & Spicy Breadcrumb Coating 350g,20240413,fresh_food,True
Tesco,1.75,3.5,kg,Ambrosia Light 30% Less Sugar & Fat Custard 500G,20240413,food_cupboard,False
ASDA,0.75,0.01,unit,ASDA Cake White Paper Cases,20240403,food_cupboard,True
Sains,2.0,10.0,kg,Quorn Totally Vegan 10 Fishless Fingers 200g,20240413,free-from,False
Sains,2.5,2.5,kg,Napolina Spaghetti 1kg,20240413,food_cupboard,False
ASDA,4.0,36.4,kg,Kenco Duo Cappuccino Instant Coffee,20240413,drinks,False
Sains,3.0,10.71,kg,La Famiglia Rana Filled Pan-Fry Gnocchi Spinach & Mozzarella 280g,20240413,fresh_food,False
Sains,1.25,3.8,l,San Pellegrino Orange 330ml,20240413,drinks,False
Morrisons,6.49,6.49,unit,Velo Freeze 11mg Pouch,20240319,drinks,False
Sains,2.0,66.7,kg,Clipper Organic Nettle 20 Tea Bags 30g,20240413,food_cupboard,False
Tesco,1.25,10.4,kg,Cadbury Snack Shortcake Chocolate Biscuits 6 Pack Multipack 120g,20240327,food_cupboard,False
ASDA,0.95,3.17,kg,ASDA Pickled Beetroot,20240413,fresh_food,True
Sains,10.0,13.3,l,Journeys End Bluegum Merlot 75cl,20240413,drinks,False
Morrisons,5.99,5.99,unit,Aspire Origin Bar 600 Blue & Raspberry 20mg,20240201,drinks,False
ASDA,2.5,27.2,kg,Organix KIDS Cool Choco Mint Mini Organic Flapjack Bites 4x,20240413,free-from,False
Sains,2.1,10.5,kg,Sainsbury's Cheese & Garlic Mushrooms 200g,20240413,fresh_food,True
Morrisons,5.99,5.99,unit,Ske Crystal Blue Sour Raspberry 20Mg,20240319,drinks,False
Morrisons,1.75,10.17,kg,Dairylea Dunkers Nacho Cheese Snacks,20240413,fresh_food,False
Morrisons,1.8,4.9,kg,Warburtons 4 Large White Rolls,20240413,bakery,False
Tesco,1.9,4.0,kg,Cocon Assorted Fruit Jelly Pudding 6 X 80G,20240413,food_cupboard,False
Sains,10.0,13.33,kg,Sainsbury's Football Crazy Madeira Cake 750g,20240222,bakery,True
ASDA,4.1,1.64,l,ASDA Biere De Luxe 10 x 25cl,20240413,drinks,True
ASDA,2.0,11.8,kg,Butterkist Crunchy Toffee Popcorn,20240413,food_cupboard,False
Morrisons,1.3,1.3,kg,Morrisons Cauliflower Florets,20240413,frozen,True
ASDA,1.25,0.16,unit,Disney 8 Encanto Paper Cups 200ml,20240413,fresh_food,False
Sains,1.5,25.0,l,Sainsbury's Pink Food Colouring 60 Ml,20240413,food_cupboard,True
Tesco,0.95,10.8,kg,Tesco Mackerel Fillets Sunflower Oil 125G,20240413,food_cupboard,True
Tesco,2.75,5.5,kg,TESCO FINEST BEEF DRIPPING GRAVY 500G,20240413,fresh_food,True
Tesco,3.85,7.7,kg,Tesco Ready To Eat Prunes 500G,20240413,food_cupboard,True
ASDA,5.15,11.1,l,Ben & Jerry's Caramel Brownie Party Ice Cream,20240413,food_cupboard,False
Sains,1.75,8.8,kg,Piccolo Organic Cooking Baby Pasta Mini Penne 10+ Months 200g,20240409,free-from,False
ASDA,2.05,5.1,kg,Cake Decor Rich Chocolate Frosting 400g,20240413,food_cupboard,False
Sains,1.6,12.3,kg,Whitworths Whole Cranberries 130g,20240413,food_cupboard,False
ASDA,3.0,8.33,kg,Young's Gastro Cod Spinach Cheese & Potato Gratin,20240413,fresh_food,False
Tesco,2.75,32.7,kg,Extra Peppermint Sugarfree Chewing Gum Bottle 60 Pieces,20240413,food_cupboard,False
Sains,1.5,6.0,kg,Belvita Breakfast Biscuits Soft Bakes Choc Chips Multipack 250g,20240208,food_cupboard,False
ASDA,1.5,14.6,kg,Kellogg's Krave Chocolate Hazelnut Stix,20240413,food_cupboard,False
ASDA,1.75,1.7,l,Schweppes Slimline Bitter Lemon,20240413,drinks,False
Tesco,2.75,12.12,kg,Finest Strawberries 227G,20240413,fresh_food,False
ASDA,14.0,14.0,unit,The BAKERY at ASDA Sid the Sausage Dog Cake,20240413,bakery,True
Morrisons,10.0,28.57,l,The Famous Grouse Blended Scotch Whisky,20240413,drinks,False
Sains,3.5,8.24,kg,Sainsbury's British Extra Lean Diced Pork Leg 425g,20240413,fresh_food,True
Sains,2.25,5.0,kg,"Sainsbury's Chicken Stock, Inspired to Cook 450g (Serves 4)",20240413,fresh_food,True
Morrisons,1.19,5.9,l,Kingfisher Coconut Milk Light,20240413,food_cupboard,False
Morrisons,2.2,17.6,kg,Ryvita Thins Rosemary & Sea S…,20240413,food_cupboard,False
Sains,3.5,21.88,kg,"Sainsbury's Unsmoked Dry Cured British Bacon Medallions, Taste the Difference x8 160g",20240307,fresh_food,True
Sains,2.5,5.7,kg,Heinz Tomato Ketchup 50% Less Sugar 435g,20240326,free-from,False
Morrisons,3.8,5.1,l,Innocent Plus Bolt From The Blue Guav…,20240413,fresh_food,False
Tesco,16.0,21.28,l,Louis Latour Bourgogne Gamay 75Cl,20240413,drinks,False
Morrisons,1.25,13.2,kg,McVitie's Iced Gems Chocola…,20240413,food_cupboard,False
Tesco,0.5,3.12,kg,Tesco Sliced Carrots In Water 300G,20240413,food_cupboard,True
Tesco,3.0,5.0,kg,Tesco Raspberry Trifle 600G,20240302,fresh_food,True
ASDA,2.0,20.0,kg,Peperami Firestick 5 x 20g (100g),20240413,fresh_food,False
Tesco,5.4,11.74,kg,Tesco Finest Moroccan Inspired Lamb Kebabs 460G,20240413,fresh_food,True
ASDA,1.6,3.9,kg,ASDA Sweet Pickled Silverskin Onions,20240413,food_cupboard,True
ASDA,1.85,5.4,kg,ASDA Extra Special Bolognese Sauce,20240413,food_cupboard,True
Sains,0.8,10.66,kg,"Batchelors Super Noodles Pot, BBQ Beef 75g",20240413,food_cupboard,False
Sains,7.35,9.2,l,Starbucks Doubleshot Espresso No Added Sugar Iced Coffee Drink 4 x 200ml,20240413,drinks,False
Morrisons,3.15,19.69,kg,The Vegetarian Butcher Vegan Chic…,20240413,fresh_food,False
ASDA,5.8,25.55,kg,ASDA Extra Special Aberdeen Angus Ribeye Steak 30 Day Matured,20240413,fresh_food,True
Tesco,1.7,1.7,unit,Tesco Angel Layer Cake,20240413,bakery,True
Tesco,2.7,10.8,kg,Maldon Sea Salt 250G,20240413,food_cupboard,False
Tesco,1.3,6.5,kg,Tesco Dark Chocolate Bar 200G,20240413,food_cupboard,True
Tesco,1.5,4.0,kg,Kohinoor Mumbai Kolhapuri Masala Cooking Sauce 375G,20240413,food_cupboard,False
Morrisons,1.6,17.4,kg,Batchelors Cup A Soup Hot & Sour 4 Pack,20240413,food_cupboard,False
Tesco,1.0,1.0,l,Tesco Banana Flavoured Milk 1L,20240412,fresh_food,True
Sains,2.95,9.83,kg,Lowicz Cascaval Cheese 300g,20240413,food_cupboard,False
ASDA,1.25,6.2,kg,LU Le Petit Biscotte Crunchy Cinnamon and Brown Sugar Biscuits,20240413,food_cupboard,False
Morrisons,2.0,7.3,kg,Bonne Maman Caramelised Apple Spread,20240413,food_cupboard,False
Tesco,6.0,54.54,kg,TESCO FINEST PORK LIVER PATE WITH PEAR GLAZE 110G,20240212,fresh_food,True
Sains,3.75,7.5,kg,Unearthed Spanish Potato Omelette 500g,20240413,free-from,False
Sains,7.5,9.98,l,Dada Art 391 Malbec 75cl,20240413,drinks,False
Morrisons,3.0,37.5,kg,Morrisons Tapas Cheddar And Chorizo Rollitos,20240413,fresh_food,True
Morrisons,4.49,22.5,kg,Taylors Hot Lava Java Coffee Beans,20240413,food_cupboard,False
ASDA,8.3,16.6,kg,Lavazza Decaffeinated Coffee Beans,20240413,drinks,False
Tesco,1.5,7.36,kg,Snacksters Big Stack Burger 204G,20240413,frozen,False
ASDA,3.0,3.0,unit,Widdop 70 Flute,20240413,fresh_food,False
Tesco,0.65,18.5,kg,Schwartz Chicken & Leek Bake Recipe Mix 35g,20240413,food_cupboard,False
Morrisons,1.25,7.1,kg,Haribo Sour Sparks Vegeta…,20240413,food_cupboard,False
Sains,36.5,52.14,l,Toki Suntory Whisky Blended Japanese Whisky 70cl,20240413,drinks,False
Morrisons,2.95,5.85,kg,Quorn Sausages,20240413,frozen,False
Sains,2.25,12.01,l,Jam Shed Shiraz 18.7cl,20240413,drinks,False
ASDA,1.5,12.0,kg,Werthers Original Creamy Filling Sweets,20240413,food_cupboard,False
Tesco,3.5,5.6,kg,Nestlé Shreddies Original Cereal 630g,20240412,food_cupboard,False
Sains,4.0,4.0,unit,"Sainsbury's Spiced Butternut & Whipped Feta Wrap, Taste the Difference",20240303,fresh_food,True
Sains,1.35,3.4,kg,Heinz Chicken & Leek Chunky Big Soup 400g,20240413,food_cupboard,False
Sains,1.5,3.4,kg,Sainsbury's Hot & Spicy Pickled Onions in Malt Vinegar 440g (220g*),20240413,food_cupboard,True
ASDA,1.6,8.0,kg,ASDA Crisp & Tender Rainbow Chard,20240413,fresh_food,True
ASDA,1.5,0.3,unit,The BAKERY at ASDA Strawberry Popdot 5pk,20240413,bakery,True
Tesco,3.75,6.82,kg,Pilgrims Choice Mature Cheddar Cheese 550 G,20240413,fresh_food,False
Sains,1.35,10.8,kg,Lindt Classic Recipe Crispy Milk Chocolate Bar 125g,20240413,food_cupboard,False
ASDA,1.5,25.0,kg,Simply Cook Cajun Jambalaya Recipe Kit 60g,20240413,food_cupboard,False
Sains,2.0,10.53,kg,Wholecreations Dairy & Gluten Free Garlic Bread Baguette 190g,20240413,food_cupboard,False
Sains,2.25,9.0,kg,Galbani Mozzarella Cheese Maxi Bag 250g,20240413,fresh_food,False
Morrisons,1.7,4.2,kg,Heinz Mulligatawny Soup,20240413,food_cupboard,False
Tesco,1.5,5.0,kg,Kohinoor Dal Tarka 300G,20240413,food_cupboard,False
Tesco,2.0,4.0,kg,Tesco Oriental Style Takeaway with Vegetable Spring Roll 500g,20240412,frozen,True
ASDA,15.0,1.89,l,John Smith's 18 Extra Smooth Cans 440ml,20240413,drinks,False
ASDA,1.35,4.9,l,The Mocktail Company Pino Colada 275ml,20240413,drinks,False
Sains,1.65,16.5,kg,Milky Way Magic Stars Milk Chocolate Bites Pouch Bag 100g,20240413,food_cupboard,False
Sains,6.5,12.62,kg,"Sainsbury's Slow Cooked Smoky Gammon Shanks with A Blossom Honey & Wholegrain Mustard Glaze, Taste The Difference x2 515g",20240413,fresh_food,True
ASDA,1.5,9.1,kg,Penn State Baked Pretzels Roasted Chilli Flavour,20240413,food_cupboard,False
ASDA,1.4,5.0,l,ASDA 8 x 35ml Assorted Milk Lollies,20240413,frozen,True
Sains,3.7,1.9,l,Rubicon Sparkling Passionfruit Juice Soft Drink 6x330ml,20240413,food_cupboard,False
Sains,1.2,3.0,kg,Heinz Cream of Chicken Soup 400g,20240413,food_cupboard,False
Morrisons,2.5,100.0,kg,Morrisons Flower Modelling Paste,20240413,food_cupboard,True
ASDA,2.99,8.0,kg,Kellogg's Crunchy Nut Bites Honey & Nut,20240413,food_cupboard,False
Sains,1.1,3.7,kg,Sainsbury's Deli-Style Coleslaw 300g,20240320,fresh_food,True
Tesco,1.75,3.5,kg,Blue Dragon Sushi Rice 500g,20240413,food_cupboard,False
Morrisons,4.99,42.9,kg,Tassimo L'OR Americano Classique Coffee Pods x14,20240413,food_cupboard,False
Sains,1.75,8.3,kg,Sainsbury's On the Go Greek Style Yogurt with Mixed Berry Compote & Crispy Granola 210g,20240413,fresh_food,True
Tesco,1.25,5.5,kg,Ginsters Original Cornish Pasty 227G,20240413,fresh_food,False
Morrisons,3.99,2.66,kg,Morrisons The Best Chunky Chips,20240118,frozen,True
Morrisons,1.1,8.8,kg,McVitie's Mini BN Strawberry Flavour,20240412,food_cupboard,False
Tesco,4.5,10.0,kg,Bisto Reduced Salt Gravy Granules 450g,20240413,food_cupboard,False
Morrisons,2.4,6.0,kg,Pizza Express Dough Ready to Roll,20240413,fresh_food,False
ASDA,2.0,2.0,kg,Silver Spoon Demerara Sugar 1kg,20240413,drinks,False
Morrisons,2.5,4.6,kg,Warburtons Multi Seeded Artisan Bread,20240409,bakery,False
Sains,6.75,1.4,l,Fruit Shoot Orange Kids Juice Drink 24x200ml,20240413,drinks,False
Tesco,2.0,5.71,kg,Tesco Cauliflower Cheese 350G,20240413,fresh_food,True
Tesco,2.2,8.6,kg,Tesco 30 Bitesize Pork Cocktail Sausages 255G,20240413,fresh_food,True
