supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Tesco,3.25,40.6,kg,Tesco Honey Roast Salmon Flakes 80G,20240412,fresh_food,True
Sains,3.5,14.0,kg,Higgidy Steak & Ale Pie 250g,20240413,fresh_food,False
Tesco,2.0,7.4,l,Tesco 3 Caramel Millionaires Ice Cream 270Ml,20240207,frozen,True
Sains,2.5,0.4,l,Nestle Pure Life Still Spring Water 12x500ml,20240413,drinks,False
Tesco,2.75,4.8,kg,Tesco 4 Chicken & Bacon Pies 568G,20240413,frozen,True
Sains,0.8,2.7,l,Kubus Go Strawberry-Banana 300ml,20240413,food_cupboard,False
ASDA,0.95,26.4,kg,Schwartz Somerset Pork Casserole Recipe Mix,20240413,food_cupboard,False
Sains,2.0,5.7,kg,Yeo Valley Organic Kefir Strawberry Yogurt 350g,20240413,free-from,False
Morrisons,1.29,3.0,kg,Morrisons Puff Pastry Block,20240413,fresh_food,True
Morrisons,4.0,8.0,kg,Morrisons 4 Garlic & Herb Chicken Kievs,20240413,frozen,True
ASDA,0.35,2.8,kg,JUST ESSENTIALS by ASDA Batter Mix,20240413,food_cupboard,True
Morrisons,6.0,7.98,l,Barefoot Pink Moscato Rose Wine,20240413,drinks,False
Morrisons,3.79,1.26,kg,Allinson Strong White Flour,20240413,food_cupboard,False
Sains,4.0,31.3,kg,Häagen-Dazs Salted Caramel Ice Cream Bites 8x15g,20240413,free-from,False
Morrisons,3.79,0.95,unit,Al Fez Harissa Wrap Kit,20240413,food_cupboard,False
Morrisons,5.99,5.99,unit,Vuse Go Edition 01 Mint Ice 20mg,20240319,drinks,False
ASDA,2.7,10.8,kg,ASDA Cheshire Cheese,20240118,fresh_food,True
Morrisons,0.75,17.9,kg,Kit Kat Chunky Peanut Butter,20240413,food_cupboard,False
Morrisons,1.99,9.5,kg,Pukka All Day Breakfast Pie,20240412,fresh_food,False
Sains,12.0,12.0,unit,Sainsbury's Outdoor Novelty Mum & Baby Tete a Tete 9cm,20240309,fresh_food,True
Sains,4.0,4.0,l,Red Bull Energy Drink Sugar Free 250ml x4,20240413,drinks,False
Sains,1.35,1.4,l,Rubicon Lychee Fruit Juice Drink 1L,20240330,free-from,False
Tesco,1.75,19.4,kg,Kind Fruit & Nut 3X30g,20240413,food_cupboard,False
Sains,2.85,9.7,kg,Dr. Oetker Science Crazy Colour Changing Icing Cupcake Mix 295g,20240413,food_cupboard,False
ASDA,1.95,14.1,kg,Jacob's Crinkly's Cheese & Onion Flavour Baked Snacks Multipack 6x23g,20240413,food_cupboard,False
Morrisons,4.25,28.33,kg,Morrisons Fishmongers Frozen Raw Peeled Argentinian Red Shrimp,20240306,fresh_food,True
Tesco,4.0,13.3,kg,Bisto Chicken Gravy Granules 300g,20240413,food_cupboard,False
Tesco,10.0,13.3,l,Hardys Tintara Cabernet Sauvignon 750Ml,20240413,drinks,False
ASDA,3.2,4.6,kg,ASDA Everyday 240 Tea Bags,20240413,drinks,True
Sains,2.7,5.4,kg,Fudco Idli Instant Mix 500g,20240413,food_cupboard,False
ASDA,2.4,4.8,kg,ASDA Extra Special Coleslaw,20240413,fresh_food,True
Morrisons,1.69,15.5,kg,Idahoan Perfect Mash Cheddar Cheese (109g),20240413,food_cupboard,False
Tesco,3.5,4.0,kg,Natco Ground Coriander 1kg,20240413,food_cupboard,False
ASDA,2.0,0.2,unit,The BAKERY at ASDA 10 Chocolate Chip Madeleines,20240413,bakery,True
Morrisons,1.95,2.0,l,Morrisons 100% Orange Juice with Bits,20240413,fresh_food,True
Morrisons,2.0,2.0,l,Robinsons Fruit & Barley Peac…,20240413,drinks,False
Sains,4.25,0.5,l,Buxton Still Natural Bottled Mineral Water 6x1.5L,20240413,drinks,False
