cluster_id,supermarkets,product_names,unit_value,unit_type,category,tier,is_known_brand,known_brand,price_min,price_max,price_mean,product_count,supermarket_count,price_range
16963,"ASDA,Sains","['Baked Beans In Tomato Sauce', 'Spaghetti Rings In Tomato Sauce']",-1.0,none,food_cupboard,standard,False,none,0.27,0.5,0.385,2,2,0.22999999999999998
16964,"ASDA,Morrisons,Sains","['Jif Lemon Juice', 'Opies Lemon Slices in Lemon Juice', 'Opies Sliced Lemons in Lemon Juice (*)']",-1.0,none,food_cupboard,none,False,none,0.75,1.95,1.55,3,3,1.2
16965,"ASDA,Sains","['Smarties Milk Chocolate Sharing Chocolate Bar', 'Aero Golden Honeycomb Chocolate Sharing Bar']",-1.0,none,food_cupboard,none,False,none,1.35,1.35,1.35,2,2,0.0
16966,"ASDA,Morrisons,Sains,Tesco","['Organic Long Grain Brown Rice', 'Naked Rice Long Grain Rice…', 'Brown Rice, SO Organic', 'Veetee Heat & Eat Long Grain Rice Pot']",-1.0,none,food_cupboard,standard,False,none,1.0,1.9,1.475,4,4,0.8999999999999999
16967,"ASDA,Tesco","['Smarties Buttons Gold Caramel Flavour Sharing Bag', 'Milkybar Gold Caramel Flavour White Chocolate Sharing Bag']",-1.0,none,food_cupboard,none,False,none,1.35,1.5,1.425,2,2,0.1499999999999999
16968,"ASDA,Morrisons,Tesco","['Snack A Jack Black Pepper & Sea Salt Sharing Rice Cakes', 'Yogurt Rice Cakes', 'Salt & Pepper Crackers']",-1.0,none,food_cupboard,none,False,none,0.9,2.25,1.4666666666666668,3,3,1.35
16969,"ASDA,Morrisons,Sains,Tesco","['Aero Dark & Milk Peppermint Chocolate Sharing Bar', 'Aero Peppermint Mini Eggs', 'Aero Melts Caramel Milk Chocolate Sharing Bag', 'Collection Milk, Dark & White Chocolate']",-1.0,none,food_cupboard,none,False,none,1.0,3.9,1.9,4,4,2.9
16970,"ASDA,Sains","['Paw Patrol Surprise Egg with Jelly Beans & Collectable Toy', 'Jelly Beans']",-1.0,none,food_cupboard,none,False,none,0.9,1.35,1.125,2,2,0.45000000000000007
16971,"ASDA,Morrisons,Sains,Tesco","['Aero Bubbly Caramel Chocolate Bar Multipack', ""Fry's Chocolate Cream Multipack"", 'Aero Bubbly Caramel Chocolate Bar Multipack 4 Pack', 'Crunchy Caramel Chocolate Bars Multipack']",-1.0,none,food_cupboard,none,False,none,1.15,1.65,1.3875,4,4,0.5
16972,"ASDA,Tesco","['Tonys Chocolonely Chocolate Love A-Fair Dark Milk Brownie Chocolate Bar', 'Chocolate Brownie Mix']",-1.0,none,food_cupboard,none,False,none,2.15,3.5,2.825,2,2,1.35
16973,"ASDA,Morrisons","['Tonys Chocolonely Chocolate Love A-Fair White Strawberry Cheesecake Chocolate Bar', 'Strawberry & Banana Bar']",-1.0,none,food_cupboard,none,False,none,1.99,3.5,2.745,2,2,1.51
16974,"ASDA,Morrisons,Tesco","['Aero Aero Golden Honeycomb Chocolate Sharing Bar', 'Aero Melts Golden Honeycomb…', 'Schar Gluten Free Melto Chocolate Bar']",-1.0,none,food_cupboard,none,False,none,1.0,1.35,1.2333333333333334,3,3,0.3500000000000001
16975,"ASDA,Sains","['Organic White Basmati Rice', 'Miso Tasty Organic White Miso']",-1.0,none,food_cupboard,standard,False,none,2.4,2.6,2.5,2,2,0.20000000000000018
