idx_a,idx_b,retailer_a,retailer_b,name_a,name_b,similarity,size_ratio,category
31152,45174,Morrisons,Sains,Morrisons Southern Fried Chicken Wrap,Sainsbury's Southern Fried Chicken Wrap,1.0,,fresh_food
3971,29026,ASDA,Morrisons,JUST ESSENTIALS by ASDA Plums,Morrisons The Best Plums,1.0,,fresh_food
29605,63572,Morrisons,Tesco,Morrisons Snowball Melon,Tesco Finest Snowball Melon,1.0,,fresh_food
29581,43455,Morrisons,Sains,Morrisons Round Lettuce,"Sainsbury's Lettuce, Round",1.0,,fresh_food
28600,51633,Morrisons,Tesco,Morrisons The Best Sweet Gem Lettuce,Tesco Sweet Gem Lettuce,1.0,,fresh_food
28544,43298,Morrisons,Sains,Morrisons Savers Lemons,Sainsbury's Lemons,1.0,,fresh_food
26139,48344,Morrisons,Sains,Maltesers Cake Bars,Maltesers Cake Bars,1.0,,bakery
4116,28642,ASDA,Morrisons,ASDA Organic Lemons,Morrisons Organic Lemons,1.0,,fresh_food
6461,18505,ASDA,Morrisons,ASDA Wafer Thin Smoked Ham,Morrisons Wafer Thin Smoked Ham,1.0,1.176,fresh_food
4135,28616,ASDA,Morrisons,ASDA Pecans,Morrisons Pecans,1.0,1.176,fresh_food
4108,29026,ASDA,Morrisons,ASDA Extra Special Plums,Morrisons The Best Plums,1.0,,fresh_food
14810,28186,ASDA,Morrisons,Richmond 6 Thick Pork Sausages,Richmond 6 Thick Pork Sausages,1.0,,fresh_food
4108,28541,ASDA,Morrisons,ASDA Extra Special Plums,Morrisons Plums,1.0,1.0,fresh_food
6433,19285,ASDA,Morrisons,ASDA Wafer Thin Cooked Ham,Morrisons Savers Wafer Thin Cooked Ham,1.0,1.176,fresh_food
6584,19271,ASDA,Morrisons,ASDA Extra Special Italian Milano Salami,Morrisons Italian Salami Milano,1.0,1.125,fresh_food
4096,28614,ASDA,Morrisons,ASDA Organic Blueberries,Morrisons Organic Blueberries,1.0,1.0,fresh_food
321,39096,ASDA,Sains,Kenco Unsweetened Cappuccino Instant Coffee Sachets,Kenco Cappuccino Unsweetened Instant Coffee 8 Sachets,0.996,1.0,drinks
10397,25883,ASDA,Morrisons,ASDA Extra Special 4 All Butter Croissants,Morrisons The Best All Butter Croissants,0.995,,bakery
