ensemble_cluster_id,cluster_size,conflict_type,conflict_token,retailer_a,retailer_b,name_a,name_b
4921,4,named_flavour_clash,"pickled vs cocktail,vinegar",ASDA,Sains,ASDA Pickled Silverskin Onions,Opies Cocktail Onions with Spirit Vinegar 227g (120g*)
4933,4,one_sided,sour,ASDA,Sains,Mrs Elswood Sweet & Sour Gherkins,Mrs Elswood Whole Sweet Cucumber 670g
4933,4,one_sided,sour,ASDA,Tesco,Mrs Elswood Sweet & Sour Gherkins,Mrs Elswood Whole Sweet Cucumbers 670G
4933,4,one_sided,sour,Morrisons,Sains,Mrs Elswood Sweet & Sour Gherkins,Mrs Elswood Whole Sweet Cucumber 670g
4933,4,one_sided,sour,Morrisons,Tesco,Mrs Elswood Sweet & Sour Gherkins,Mrs Elswood Whole Sweet Cucumbers 670G
5004,3,one_sided,smoky,ASDA,Morrisons,Schwartz Nadiya Smoky Meatball Stew 30g,Schwartz Nadiya Smokey Meatball Stew
5004,3,one_sided,smoky,Morrisons,Tesco,Schwartz Nadiya Smokey Meatball Stew,Schwartz Nadiya Smoky Meatball Stew 30g
5046,4,one_sided,smoky,ASDA,Morrisons,Graze Smoky Barbecue Crunch,Graze BBQ Crunch
5046,4,one_sided,smoky,ASDA,Sains,Graze Smoky Barbecue Crunch,Graze Smokehouse BBQ Crunch Flavoured Peas 104g
5046,4,one_sided,smoky,Morrisons,Tesco,Graze BBQ Crunch,Graze Smoky Barbecue Crunch 100G
5046,4,one_sided,smoky,Sains,Tesco,Graze Smokehouse BBQ Crunch Flavoured Peas 104g,Graze Smoky Barbecue Crunch 100G
5062,4,one_sided,unsalted,ASDA,Sains,KP Unsalted Peanuts,KP Dry Roasted Peanuts 250g
5062,4,one_sided,unsalted,Morrisons,Sains,KP Unsalted Peanuts,KP Dry Roasted Peanuts 250g
5062,4,one_sided,unsalted,Sains,Tesco,KP Dry Roasted Peanuts 250g,Kp Unsalted Peanuts 250G
5178,4,one_sided,reduced,ASDA,Morrisons,ASDA Fresh Single Cream 300ml,Morrisons British Reduced Fat Creme Fraiche
5178,4,one_sided,reduced,Morrisons,Sains,Morrisons British Reduced Fat Creme Fraiche,Sainsbury's British Lighter Crème Fraîche 300ml
5178,4,one_sided,reduced,Morrisons,Tesco,Morrisons British Reduced Fat Creme Fraiche,Tesco British Single Cream 300Ml
5185,3,one_sided,reduced,ASDA,Morrisons,ASDA Creme Fraiche 300ml,Morrisons Reduced Fat Creme Fraiche
5185,3,one_sided,reduced,Morrisons,Tesco,Morrisons Reduced Fat Creme Fraiche,Tesco 50% Less Fat Creme Fraiche 300Ml
5233,4,one_sided,reduced,ASDA,Morrisons,BAKE by ASDA Best For Baking Cakes & Sponges Spread 500g,Morrisons Reduced Fat Sprea…
5233,4,one_sided,reduced,Morrisons,Sains,Morrisons Reduced Fat Sprea…,JS Baking Spread 500g
5233,4,one_sided,reduced,Morrisons,Tesco,Morrisons Reduced Fat Sprea…,Tesco Baking Spread 500G
5308,3,named_flavour_clash,vinegar vs cheddar,Sains,Tesco,Jacob's Cracker Crisps Salt & Vinegar 150g,Jacobs Baked Cheddar Biscuits Cheese 150G
5313,4,one_sided,sour,ASDA,Morrisons,Doritos Dippers Hint of Sour Cream & Onion Sharing Tortilla Chips Crisps 230g,Doritos Dippers Hint Of Paprika Sha…
5313,4,one_sided,sour,Morrisons,Sains,Doritos Dippers Hint Of Paprika Sha…,Doritos Dippers Hint of Sour Cream & Onion Sharing Tortilla Crisps Chips 230g
5313,4,one_sided,sour,Morrisons,Tesco,Doritos Dippers Hint Of Paprika Sha…,Doritos Dippers Tortilla Chips Sour Cream & Onion Crisps 230g
5409,4,named_flavour_clash,vinegar vs cheddar,ASDA,Sains,Smiths Smiths Chipsticks Salt & Vinegar Sharing Snacks Crisps 105g,Sainsbury's Deliciously Free From Cheddar-Style & Spring Onion Crispbakes x2 227g
5409,4,named_flavour_clash,cheddar vs vinegar,Sains,Tesco,Sainsbury's Deliciously Free From Cheddar-Style & Spring Onion Crispbakes x2 227g,Smiths Chipsticks Salt & Vinegar Sharing Bag Crisps 105g
5419,4,one_sided,sour,ASDA,Tesco,Pringles Paprika Sharing Crisps,Pringles Sizzl'N Kickin' Sour Cream Sharing Crisps 180g
5419,4,one_sided,sour,Morrisons,Tesco,Pringles Paprika Sharing Crisps,Pringles Sizzl'N Kickin' Sour Cream Sharing Crisps 180g
5419,4,one_sided,sour,Sains,Tesco,Pringles Paprika Sharing Crisps 185g,Pringles Sizzl'N Kickin' Sour Cream Sharing Crisps 180g
5445,4,one_sided,sour,ASDA,Morrisons,Pringles Sour Cream & Onion Sharing Crisps,Pringles Cheese & Onion Sharing Crisps
5445,4,one_sided,sour,Morrisons,Sains,Pringles Cheese & Onion Sharing Crisps,Pringles Sour Cream & Onion Sharing Crisps 185g
5445,4,one_sided,sour,Morrisons,Tesco,Pringles Cheese & Onion Sharing Crisps,Pringles Sour Cream & Onion Sharing Crisps 185g
5447,4,one_sided,sour,ASDA,Morrisons,Pringles Texas BBQ Sauce Sharing Crisps,Pringles Sizzl'n Kicking Sour Cream Crisps
5447,4,one_sided,sour,Morrisons,Sains,Pringles Sizzl'n Kicking Sour Cream Crisps,Pringles Texas BBQ Sauce Flavour Sharing Crisps 185g
5447,4,one_sided,sour,Morrisons,Tesco,Pringles Sizzl'n Kicking Sour Cream Crisps,Pringles Texas Bbq Crisps 185G
5465,4,one_sided,smoky,ASDA,Morrisons,Pringles Hot Smokin BBQ Ribs Flavour 160g,Pringles Hot Smoky BBQ Ribs
5465,4,one_sided,smoky,Morrisons,Sains,Pringles Hot Smoky BBQ Ribs,Pringles Hot Smokin' BBQ Ribs Sharing Crisps 160g
5465,4,one_sided,smoky,Morrisons,Tesco,Pringles Hot Smoky BBQ Ribs,Pringles Hot Smokin' BBQ Ribs Flavour Crisps 160g
5475,4,one_sided,sour,ASDA,Tesco,Manomasa Chipotle & Lime 140g,Tesco Finest Sour Cream & Zingy Lime Tortilla Chips 150g
5475,4,one_sided,sour,Morrisons,Tesco,Manomasa Chipotle and Lime…,Tesco Finest Sour Cream & Zingy Lime Tortilla Chips 150g
5475,4,one_sided,sour,Sains,Tesco,Manomasa Chipotle & Lime 140g,Tesco Finest Sour Cream & Zingy Lime Tortilla Chips 150g
5476,4,one_sided,sour,ASDA,Tesco,Harvest Snaps Sour Cream & Chive Crunchy Lentil Rings,Brave Crunchy Chickpeas Salt & Vinegar 115G
5476,4,one_sided,sour,Morrisons,Tesco,Harvest Snaps Sour Cream & Chiv…,Brave Crunchy Chickpeas Salt & Vinegar 115G
5476,4,one_sided,sour,Sains,Tesco,Love Corn Sour Cream & Chive Flavour Delicious Crunchy Corn 115g,Brave Crunchy Chickpeas Salt & Vinegar 115G
5485,4,one_sided,sour,ASDA,Morrisons,Popchips Sour Cream & Onion Flavour Potato Snacks 23g,Popchips Sea Salt
5485,4,one_sided,sour,Morrisons,Sains,Popchips Sea Salt,Popchips Sour Cream & Onion Crisps 23g
5485,4,one_sided,sour,Morrisons,Tesco,Popchips Sea Salt,Emily Vegetable Thins Sour Cream & Onion Tortilla Chips 23G
5562,3,one_sided,reduced,ASDA,Tesco,ASDA 4 Cheese & Bacon Potato Skins 262g,Tesco Reduced Fat & Salt 8 Bacon Unsmoked Medallions 240G
5562,3,one_sided,reduced,Sains,Tesco,Sainsbury's Cheese & Bacon Potato Skins x4 256g,Tesco Reduced Fat & Salt 8 Bacon Unsmoked Medallions 240G
5580,4,one_sided,reduced,ASDA,Morrisons,ASDA Potato Salad,Morrisons Reduced Fat Potato Salad
5580,4,one_sided,reduced,Morrisons,Sains,Morrisons Reduced Fat Potato Salad,Sainsbury's Potato & Egg Salad 300g
5580,4,one_sided,reduced,Morrisons,Tesco,Morrisons Reduced Fat Potato Salad,Tesco Potato & Egg Salad 300G
5603,3,one_sided,smoky,ASDA,Tesco,The Tofoo Co. Marinated Smoky BBQ Strips 180g,The Tofoo Co. Marinated Smokey BBQ Strips 180g
5603,3,one_sided,smoky,Sains,Tesco,The Tofoo Co. Marinated Smoky BBQ Strips 180g,The Tofoo Co. Marinated Smokey BBQ Strips 180g
5645,4,one_sided,sour,ASDA,Morrisons,Skittles Vegan Chewy Sour Sweets Fruit Flavoured Pouch Bag,Skittles & Friends Selection Box
5645,4,one_sided,sour,Morrisons,Sains,Skittles & Friends Selection Box,Skittles Vegan Chewy Crazy Sour Sweets Fruit Flavoured Pouch Bag 136g
5645,4,one_sided,sour,Morrisons,Tesco,Skittles & Friends Selection Box,Skittles Crazy Sour Fruit Sweets 136G
5646,4,one_sided,sour,ASDA,Morrisons,Skittles Vegan Chewy Crazy Sour Sweets Fruit Flavoured Pouch Bag,Skittles Chewies Vegan Sweets F…
5646,4,one_sided,sour,ASDA,Sains,Skittles Vegan Chewy Crazy Sour Sweets Fruit Flavoured Pouch Bag,Skittles Vegan Chewy Sweets Fruit Flavoured Pouch Bag 136g
5646,4,one_sided,sour,ASDA,Tesco,Skittles Vegan Chewy Crazy Sour Sweets Fruit Flavoured Pouch Bag,Skittles Chewies Vegan Sweets Fruit Pouch Bag 137g
5678,4,one_sided,sour,ASDA,Morrisons,Blue Dragon Sweet & Sour Stir Fry Sauce,Blue Dragon Sticky Teriyaki Stir Fry Sauce
5678,4,one_sided,sour,Morrisons,Sains,Blue Dragon Sticky Teriyaki Stir Fry Sauce,Blue Dragon Sweet & Sour Stir Fry Sauce 120g
5678,4,one_sided,sour,Morrisons,Tesco,Blue Dragon Sticky Teriyaki Stir Fry Sauce,Blue Dragon Sweet & Sour Stir Fry Sauce 120G
5707,4,one_sided,sour,ASDA,Morrisons,Mr Freeze Freezepops,Mr Freeze Sour Freezepops
5707,4,one_sided,sour,Morrisons,Sains,Mr Freeze Sour Freezepops,Mr Freeze Sugar Free Freeze Pops 20x45ml
5707,4,one_sided,sour,Morrisons,Tesco,Mr Freeze Sour Freezepops,Mr Freeze Sugar Free Freeze Pops 20 X 45Ml
5725,4,one_sided,rose,ASDA,Morrisons,Kylie Minogue Alcohol Free Sparkling Rosé Wine,La Bellamente Pinot Grigio Rose
5725,4,one_sided,rose,ASDA,Sains,Kylie Minogue Alcohol Free Sparkling Rosé Wine,Kylie Minogue Alcohol Free Sparkling Rose 75cl
5725,4,one_sided,rose,ASDA,Tesco,Kylie Minogue Alcohol Free Sparkling Rosé Wine,Kylie Minogue Alcohol Free Sparkling Rose 75Cl
5740,4,named_flavour_clash,satay vs teriyaki,ASDA,Sains,Blue Dragon Satay Stir Fry Sauce,Blue Dragon Teriyaki Stir Fry Sauce 120g
5740,4,named_flavour_clash,satay vs teriyaki,Morrisons,Sains,Blue Dragon Satay Stir Fry Sauce,Blue Dragon Teriyaki Stir Fry Sauce 120g
5740,4,named_flavour_clash,teriyaki vs satay,Sains,Tesco,Blue Dragon Teriyaki Stir Fry Sauce 120g,Blue Dragon Satay Stir Fry Sauce 120G
5750,4,one_sided,smoky,ASDA,Sains,BOL Spanish Smoky Butter Bean Stew,BOL One Pot Meal Spanish Butter Bean Stew 450g
5750,4,one_sided,smoky,Morrisons,Sains,Bol One Pot Meal Spanish Smoky Butter Bean Stew,BOL One Pot Meal Spanish Butter Bean Stew 450g
5750,4,one_sided,smoky,Sains,Tesco,BOL One Pot Meal Spanish Butter Bean Stew 450g,Bol Spanish Smoky Butter Bean Stew Power Pot 450G
5766,4,named_flavour_clash,"pad,thai vs teriyaki",ASDA,Morrisons,Wagamama Pad Thai Stir Fry Sauce 120g,Wagamama Teriyaki Stir Fry Sauce
5766,4,named_flavour_clash,"pad,thai vs teriyaki",ASDA,Sains,Wagamama Pad Thai Stir Fry Sauce 120g,The Spice Tailor Sticky Soy Teriyaki Stir Fry Sauce 135g
5766,4,named_flavour_clash,"teriyaki vs pad,thai",Morrisons,Tesco,Wagamama Teriyaki Stir Fry Sauce,Wagamama Pad Thai Stir Fry Mild Sauce 120G
5766,4,named_flavour_clash,"teriyaki vs pad,thai",Sains,Tesco,The Spice Tailor Sticky Soy Teriyaki Stir Fry Sauce 135g,Wagamama Pad Thai Stir Fry Mild Sauce 120G
5778,3,named_flavour_clash,satay vs katsu,Sains,Tesco,Blue Dragon Satay Stir Fry Sauce 120g,Blue Dragon Aromatic Katsu Stir Fry Sauce 120G
5781,4,one_sided,sour,ASDA,Morrisons,Blue Dragon Fragrant Pad Thai Stir Fry Sauce,Blue Dragon Sweet & Sour Stir Fry Sauce
5781,4,one_sided,sour,Morrisons,Sains,Blue Dragon Sweet & Sour Stir Fry Sauce,Blue Dragon Chow Mein Stir Fry Sauce 120g
5781,4,one_sided,sour,Morrisons,Tesco,Blue Dragon Sweet & Sour Stir Fry Sauce,Blue Dragon Chow Mein Stir Fry Sauce 120G
5797,3,one_sided,sour,ASDA,Sains,Mr Freeze Sour Freeze Pops,Calypso Mr Freeze Ice Pops 20x45ml
5797,3,one_sided,sour,ASDA,Tesco,Mr Freeze Sour Freeze Pops,Mr Freeze Freeze Pops 20X45ml
6310,4,one_sided,sour,ASDA,Tesco,Rowntree's Randoms Fizzy Cactuz 130g,Rowntree's Randoms Fizzy Cactuz Sour Sweets 130g
6310,4,one_sided,sour,Morrisons,Tesco,Rowntree's Fruit Pastilles Vegan Fr…,Rowntree's Randoms Fizzy Cactuz Sour Sweets 130g
6310,4,one_sided,sour,Sains,Tesco,Rowntree's Randoms Fizzy Cactuz Sweets Sharing Bag 130g,Rowntree's Randoms Fizzy Cactuz Sour Sweets 130g
6319,4,one_sided,sour,ASDA,Morrisons,Lucozade Sport Drink Raspberry,Ske Crystal Blue Sour Raspberry 20Mg
6319,4,one_sided,sour,Morrisons,Sains,Ske Crystal Blue Sour Raspberry 20Mg,Sainsbury's Raspberry French Vodka 70cl
6319,4,one_sided,sour,Morrisons,Tesco,Ske Crystal Blue Sour Raspberry 20Mg,Lucozade Sport Raspberry 750Ml
6455,4,one_sided,sour,ASDA,Tesco,Coppa Cocktails Mojito,Coppa Cocktails Whiskey Sour - 70cl
6455,4,one_sided,sour,Morrisons,Tesco,The Duppy Share Caribbean Rum,Coppa Cocktails Whiskey Sour - 70cl
6455,4,one_sided,sour,Sains,Tesco,"Sainsbury's Speyside Whisky, Taste the Difference 70cl",Coppa Cocktails Whiskey Sour - 70cl
6488,4,one_sided,sour,ASDA,Morrisons,JUST ESSENTIALS by ASDA Sweet & Sour Cooking Sauce,Sharwood's Cooking Sauce Swee…
6488,4,one_sided,sour,Morrisons,Sains,Sharwood's Cooking Sauce Swee…,Stamford Street Co. Sweet & Sour Sauce 500g
6488,4,one_sided,sour,Morrisons,Tesco,Sharwood's Cooking Sauce Swee…,Hearty Food Co. Sweet & Sour Sauce 440G
6504,4,one_sided,smoky,ASDA,Sains,Old El Paso Gluten Free Fajita Kit Smokey BBQ,Old El Paso Mexican Gluten Free Fajita Kit Smoky BBQ 462g
6504,4,one_sided,smoky,Morrisons,Sains,Old El Paso Extra Mild Super Tasty Fajita Kit,Old El Paso Mexican Gluten Free Fajita Kit Smoky BBQ 462g
6504,4,one_sided,smoky,Sains,Tesco,Old El Paso Mexican Gluten Free Fajita Kit Smoky BBQ 462g,Old El Paso Teriyaki Fajita Fusion Kit 451G
6519,4,named_flavour_clash,carbonara vs bolognese,ASDA,Morrisons,ASDA Extra Special Carbonara Sauce,Morrisons Italian Bolognese Pasta Sauce
6519,4,named_flavour_clash,bolognese vs carbonara,Morrisons,Sains,Morrisons Italian Bolognese Pasta Sauce,"Sainsbury's Carbonara Sauce, Taste the Difference 350g (Serves 2)"
6519,4,named_flavour_clash,bolognese vs carbonara,Morrisons,Tesco,Morrisons Italian Bolognese Pasta Sauce,Tesco Finest Carbonara Pasta Sauce 340G
6566,3,one_sided,smoky,ASDA,Tesco,Old El Paso Mexican Stand 'N' Stuff Smoky BBQ Soft Taco Kit,Old El Paso Smokey Bbq Stand ‘N’ Stuff Soft Taco Kit 350G
6566,3,one_sided,smoky,Morrisons,Tesco,Old El Paso Stand 'N' Stuff Smoky BBQ Soft Taco Kit,Old El Paso Smokey Bbq Stand ‘N’ Stuff Soft Taco Kit 350G
6569,4,named_flavour_clash,cajun vs salad,Morrisons,Sains,Bart Cajun Seasoning Refill,Just Spices Original Salad Topping Seasoning 35g
6575,4,one_sided,sour,ASDA,Morrisons,Ben's Original Sweet and Sour Original No Added Sugar Sauce,Ben's Original Sweet And So…
6575,4,one_sided,sour,ASDA,Tesco,Ben's Original Sweet and Sour Original No Added Sugar Sauce,Tesco Superberry Granola 500G
6575,4,one_sided,sour,Morrisons,Sains,Ben's Original Sweet And So…,Bens Original Sweet and Sour No Added Sugar Sauce 440g
6575,4,one_sided,sour,Sains,Tesco,Bens Original Sweet and Sour No Added Sugar Sauce 440g,Tesco Superberry Granola 500G
6602,4,named_flavour_clash,carbonara vs bolognese,ASDA,Sains,Dolmio Pasta Bake Carbonara Pasta Sauce,Dolmio Bolognese Smooth Tomato Pasta Sauce 500g
6605,4,named_flavour_clash,bolognese vs lasagne,ASDA,Morrisons,Heinz Tomato Pasta Sauce for Bolognese 490g,Heinz Tomato Sauce For Lasagne
6605,4,named_flavour_clash,lasagne vs bolognese,Morrisons,Sains,Heinz Tomato Sauce For Lasagne,Heinz Tomato Pasta Sauce for Bolognese 490g
6605,4,named_flavour_clash,lasagne vs bolognese,Morrisons,Tesco,Heinz Tomato Sauce For Lasagne,Tesco No Added Sugar Bolognese Pasta Sauce 500G
6625,3,one_sided,sour,ASDA,Morrisons,Sharwood's 30% Less Sugar Sweet & Sour Stir Fry Sauce,Sharwood's Stir Fry Sauce 30% Less…
6625,3,one_sided,sour,Morrisons,Tesco,Sharwood's Stir Fry Sauce 30% Less…,Sharwoods Stir Fry Sauce 30% Less Sugar Sweet & Sour 120G
6643,4,one_sided,sour,ASDA,Morrisons,ASDA Sour Cream 280g,Crosse & Blackwell Cream Of…
6643,4,one_sided,sour,Morrisons,Sains,Crosse & Blackwell Cream Of…,Sainsbury's Sour Cream 280g
6643,4,one_sided,sour,Morrisons,Tesco,Crosse & Blackwell Cream Of…,Tesco Sour Cream Topping 280G
6661,3,named_flavour_clash,teriyaki vs katsu,ASDA,Sains,Sharwood's East Asian Japanese Teriyaki 420g,Sharwoods Japanese Katsu Curry Sauce 415g
6661,3,named_flavour_clash,teriyaki vs katsu,Morrisons,Sains,Sharwood's Japanese Teriyaki Sauce,Sharwoods Japanese Katsu Curry Sauce 415g
6664,4,one_sided,reduced,ASDA,Morrisons,ASDA Coconut Milk 400ml,Morrisons Canned Reduced Fat Coconut Milk
6664,4,one_sided,reduced,Morrisons,Sains,Morrisons Canned Reduced Fat Coconut Milk,Sainsbury's Coconut Milk 400ml
6664,4,one_sided,reduced,Morrisons,Tesco,Morrisons Canned Reduced Fat Coconut Milk,Tesco Coconut Milk 400Ml
6667,3,one_sided,reduced,ASDA,Morrisons,Amoy Coconut Milk,Amoy Reduced Fat Coconut Milk
6667,3,one_sided,reduced,Morrisons,Sains,Amoy Reduced Fat Coconut Milk,Amoy Coconut Milk 400ml
6669,2,one_sided,reduced,ASDA,Morrisons,Amoy Reduced Fat Coconut Milk,Amoy Rich Coconut Milk
6677,4,named_flavour_clash,carbonara vs cheddar,ASDA,Sains,Homepride Pasta Bake Carbonara 485g,Homepride No Added Sugar Pasta Bake Sauce Tomato & Cheddar Cheese 485g
6677,4,named_flavour_clash,carbonara vs cheddar,ASDA,Tesco,Homepride Pasta Bake Carbonara 485g,Homepride No Added Sugar Tomato Cheddar Pasta Bake Sauce 485G
6702,3,one_sided,reduced,ASDA,Tesco,ASDA Ricotta & Red Pepper Pesto,Tesco Reduced Fat Red Pesto 190G
6702,3,one_sided,reduced,Sains,Tesco,Sainsbury's Roasted Red Pepper Pesto 190g,Tesco Reduced Fat Red Pesto 190G
6705,4,one_sided,reduced,ASDA,Tesco,ASDA Green Pesto,Tesco Reduced Fat Green Pesto 190G
6705,4,one_sided,reduced,Morrisons,Tesco,Morrisons Green Pesto,Tesco Reduced Fat Green Pesto 190G
6705,4,one_sided,reduced,Sains,Tesco,Sainsbury's Green Pesto 190g,Tesco Reduced Fat Green Pesto 190G
6716,4,named_flavour_clash,pesto vs mozzarella,ASDA,Sains,Filippo Berio Tomato & Ricotta Pesto,Sainsbury's Free From Gluten Tomato & Mozzarella Arancini 200g
6716,4,named_flavour_clash,mozzarella vs pesto,Sains,Tesco,Sainsbury's Free From Gluten Tomato & Mozzarella Arancini 200g,Filippo Berio Tomato & Ricotta Pesto 190G
6851,4,one_sided,sour,ASDA,Tesco,ASDA Meal For One Sweet & Sour Crispy Chicken with Egg Fried Rice 400g,Tesco Chicken & Black Bean With Egg Fried Rice 400G
6851,4,one_sided,sour,Morrisons,Tesco,Morrisons Sweet & Sour Chicken & Egg Fried Rice,Tesco Chicken & Black Bean With Egg Fried Rice 400G
6851,4,one_sided,sour,Sains,Tesco,Sainsbury's Sweet & Sour Chicken with Rice Ready Meal for 1 400g,Tesco Chicken & Black Bean With Egg Fried Rice 400G
6855,4,one_sided,sour,ASDA,Tesco,JUST ESSENTIALS by ASDA Chicken Curry & Rice,Hearty Food Co. Sweet & Sour Chicken & Rice 450G
6855,4,one_sided,sour,Morrisons,Tesco,Morrisons Savers Chicken Curry,Hearty Food Co. Sweet & Sour Chicken & Rice 450G
6855,4,one_sided,sour,Sains,Tesco,The Gym Kitchen Thai Green Chicken Curry 400g,Hearty Food Co. Sweet & Sour Chicken & Rice 450G
6986,2,one_sided,reduced,ASDA,Sains,ASDA Reduced Fat Crustless Quiche Lorraine,Sainsbury's Crustless Quiche Lorraine 150g
6993,4,one_sided,sour,ASDA,Sains,Haribo Tangfastics Sweets Sharing Bag,Haribo Sour Sparks Sweets Sharing Bag 175g
6993,4,one_sided,sour,Morrisons,Sains,Haribo Tangfastics Sweets Share Bag,Haribo Sour Sparks Sweets Sharing Bag 175g
6993,4,one_sided,sour,Sains,Tesco,Haribo Sour Sparks Sweets Sharing Bag 175g,Haribo Tangfastics 175G
6999,4,one_sided,sour,ASDA,Tesco,Haribo Twin Snakes Sweets Sharing Bag,Haribo Sour Sparks 175G
6999,4,one_sided,sour,Morrisons,Tesco,Haribo Share The Happy 11 Mini Bags Sweets Multipack,Haribo Sour Sparks 175G
6999,4,one_sided,sour,Sains,Tesco,Haribo Twin Snakes Sweets Sharing Bag 175g,Haribo Sour Sparks 175G
7003,4,one_sided,sour,ASDA,Sains,Haribo Sour Sparks Bag Sweets Sharing Bag,Merba Chocolate Cookies 200g
7003,4,one_sided,sour,ASDA,Tesco,Haribo Sour Sparks Bag Sweets Sharing Bag,Revels Milk Chocolate Sharing Pouch Bag 205g
7003,4,one_sided,sour,Morrisons,Sains,Haribo Sour Sparks Vegeta…,Merba Chocolate Cookies 200g
7003,4,one_sided,sour,Morrisons,Tesco,Haribo Sour Sparks Vegeta…,Revels Milk Chocolate Sharing Pouch Bag 205g
7043,4,one_sided,sour,ASDA,Morrisons,Candy Kittens Sour Watermelon Gourmet Sweets,Morrisons Watermelon Slices
7043,4,one_sided,sour,Morrisons,Sains,Morrisons Watermelon Slices,Candy Kittens Sour Watermelon Gourmet Sweets 140g
7043,4,one_sided,sour,Morrisons,Tesco,Morrisons Watermelon Slices,Candy Kitten Sour Watermelon Sweets 140G
7049,3,one_sided,sour,ASDA,Sains,Haribo Starmix Multipack Bag 176g,Haribo Tangfastics Sour Sweets Bag 175g
7049,3,one_sided,sour,Morrisons,Sains,Haribo Starmix 11 Mini Bags Sweets Multipack,Haribo Tangfastics Sour Sweets Bag 175g
7064,4,one_sided,sour,ASDA,Sains,Skittles Squishy Cloudz Fruits Sweets Pouch Bag,Skittles Squishy Cloudz Sour Sweets Fruit Flavoured Sweets Pouch Bag 94g
7064,4,one_sided,sour,ASDA,Tesco,Skittles Squishy Cloudz Fruits Sweets Pouch Bag,Skittles Squishy Cloudz Sour Sweets Fruit Sweets Pouch Bag 94g
7064,4,one_sided,sour,Morrisons,Sains,Skittles Squishy Cloudz Chewy…,Skittles Squishy Cloudz Sour Sweets Fruit Flavoured Sweets Pouch Bag 94g
7064,4,one_sided,sour,Morrisons,Tesco,Skittles Squishy Cloudz Chewy…,Skittles Squishy Cloudz Sour Sweets Fruit Sweets Pouch Bag 94g
7278,3,one_sided,sour,ASDA,Tesco,Sour Punch Mini Bites Assorted Flavours 57g,Tesco Snack Pack Soft Apricots 50G
7278,3,one_sided,sour,Morrisons,Tesco,Sour Punch Mini Bites Assorted Flavours,Tesco Snack Pack Soft Apricots 50G
7279,4,one_sided,sour,ASDA,Tesco,Warheads Lil' Worms Candy,Warheads Sour Chewy Cubes Assorted Flavours 113G
7279,4,one_sided,sour,Morrisons,Tesco,Warheads Lil Worms,Warheads Sour Chewy Cubes Assorted Flavours 113G
7279,4,one_sided,sour,Sains,Tesco,Jolly Rancher Gummies Sours 99g,Warheads Sour Chewy Cubes Assorted Flavours 113G
7351,4,one_sided,rose,ASDA,Morrisons,Vranken Champagne Brut Rosé,Bollinger Champagne Rose
7351,4,one_sided,rose,ASDA,Tesco,Vranken Champagne Brut Rosé,Caparelli Italian Rose Blush 75Cl
7351,4,one_sided,rose,Morrisons,Sains,Bollinger Champagne Rose,Bollinger Rosé Champagne 75cl
7351,4,one_sided,rose,Sains,Tesco,Bollinger Rosé Champagne 75cl,Caparelli Italian Rose Blush 75Cl
7355,4,one_sided,rose,ASDA,Morrisons,Lanson Rosé Champagne,Lanson Rose Label Champagne Rose NV
7355,4,one_sided,rose,ASDA,Sains,Lanson Rosé Champagne,Chapel Down English Rose NV 75cl
7355,4,one_sided,rose,ASDA,Tesco,Lanson Rosé Champagne,Piper Heidsieck Champagne Rose Sauvage 750Ml
7460,3,one_sided,reduced,ASDA,Tesco,ASDA Ready to Serve Custard 30% Less Fat,Tesco Reduced Fat Custard 500G
7460,3,one_sided,reduced,Sains,Tesco,Sainsbury's Ready To Eat Custard 500g,Tesco Reduced Fat Custard 500G
7520,3,one_sided,reduced,ASDA,Morrisons,ASDA Organic Crunchy Peanut Butter,Morrisons Reduced Fat Peanut Butter
7520,3,one_sided,reduced,Morrisons,Sains,Morrisons Reduced Fat Peanut Butter,Sainsbury's Peanut Butter Crunchy 340g
7562,4,one_sided,rose,ASDA,Morrisons,Not Guilty Alcohol Free Rosé Wine,Not Guilty Alcohol Free Rose
7562,4,one_sided,rose,ASDA,Sains,Not Guilty Alcohol Free Rosé Wine,Fête de Flaveurs Touraine Rose Wine 75cl
7562,4,one_sided,rose,ASDA,Tesco,Not Guilty Alcohol Free Rosé Wine,Vineyards Juicy Rose Wine 75Cl
7568,4,one_sided,rose,ASDA,Morrisons,Freixenet Italian Sparkling Rosé and Reed Diffuser Set,Freixenet Italian Rose Sparkling Wine
7568,4,one_sided,rose,ASDA,Tesco,Freixenet Italian Sparkling Rosé and Reed Diffuser Set,Canvino Naturally Sparkling Rose Wine 200Ml
7568,4,one_sided,rose,Morrisons,Sains,Freixenet Italian Rose Sparkling Wine,Freixenet Italian Sparkling Rosé Small Wine Bottle 20cl
7568,4,one_sided,rose,Sains,Tesco,Freixenet Italian Sparkling Rosé Small Wine Bottle 20cl,Canvino Naturally Sparkling Rose Wine 200Ml
7618,4,named_flavour_clash,paprika vs salad,ASDA,Tesco,Zaad Sliced Mortadella with Paprika,Providence Deli Lightly Spiced Iberian Salad 200G
7618,4,named_flavour_clash,paprika vs salad,Morrisons,Tesco,Tahira Poultry Mortadella With Paprika,Providence Deli Lightly Spiced Iberian Salad 200G
7724,4,one_sided,unsalted,ASDA,Sains,Cypressa Mixed Nuts & Raisins,Sainsbury's Unsalted Mixed Nuts & Raisins 200g
7724,4,one_sided,unsalted,Morrisons,Sains,Morrisons Roasted Monkey Nuts,Sainsbury's Unsalted Mixed Nuts & Raisins 200g
