ensemble_cluster_id,cluster_size,conflict_type,conflict_token,retailer_a,retailer_b,name_a,name_b
2559,4,one_sided,rose,ASDA,Morrisons,La Vieille Rosé,La Vieille Ferme Rose
2559,4,one_sided,rose,ASDA,Tesco,La Vieille Rosé,La Vieille Ferme Rose Wine 750Ml
2559,4,one_sided,rose,Morrisons,Sains,La Vieille Ferme Rose,La Vieille Ferme Rosé 75cl
2559,4,one_sided,rose,Sains,Tesco,La Vieille Ferme Rosé 75cl,La Vieille Ferme Rose Wine 750Ml
2570,4,one_sided,rose,ASDA,Morrisons,ASDA Extra Special Pinot Grigio Rosé,Morrisons The Best Pinot Grigio Rose
2570,4,one_sided,rose,ASDA,Tesco,ASDA Extra Special Pinot Grigio Rosé,Tesco Finest Argentinian Malbec Rose 75Cl
2570,4,one_sided,rose,Morrisons,Sains,Morrisons The Best Pinot Grigio Rose,"Sainsbury's Fronton Negrette Rosé, Taste The Difference 75cl"
2570,4,one_sided,rose,Sains,Tesco,"Sainsbury's Fronton Negrette Rosé, Taste The Difference 75cl",Tesco Finest Argentinian Malbec Rose 75Cl
2577,4,one_sided,rose,ASDA,Morrisons,Mateus The Original Rosé,Mateus Rose
2577,4,one_sided,rose,ASDA,Tesco,Mateus The Original Rosé,Mateus Rose 75Cl
2577,4,one_sided,rose,Morrisons,Sains,Mateus Rose,Mateus Rosé 75cl
2577,4,one_sided,rose,Sains,Tesco,Mateus Rosé 75cl,Mateus Rose 75Cl
2588,4,one_sided,rose,ASDA,Morrisons,ASDA Extra Special Côtes de Provence Rosé,Morrisons The Best Provence Rose
2588,4,one_sided,rose,ASDA,Tesco,ASDA Extra Special Côtes de Provence Rosé,Tesco Finest Provence Rose 75Cl
2588,4,one_sided,rose,Morrisons,Sains,Morrisons The Best Provence Rose,"Sainsbury's Côtes de Provence Rosé, Taste the Difference 75cl"
2588,4,one_sided,rose,Sains,Tesco,"Sainsbury's Côtes de Provence Rosé, Taste the Difference 75cl",Tesco Finest Provence Rose 75Cl
2594,4,one_sided,rose,ASDA,Morrisons,Kylie Minogue Rosé,Kylie Minogue Rose
2594,4,one_sided,rose,ASDA,Tesco,Kylie Minogue Rosé,Kylie Minogue Cote De Provence Rose 75Cl
2594,4,one_sided,rose,Morrisons,Sains,Kylie Minogue Rose,Kylie Minogue Rosé 75cl
2594,4,one_sided,rose,Sains,Tesco,Kylie Minogue Rosé 75cl,Kylie Minogue Cote De Provence Rose 75Cl
2600,4,one_sided,rose,ASDA,Morrisons,ASDA Extra Special Malbec Rosé,Nozeco Rose Spumante Alcohol Free
2600,4,one_sided,rose,ASDA,Tesco,ASDA Extra Special Malbec Rosé,Nozeco Rose 750Ml
2600,4,one_sided,rose,Morrisons,Sains,Nozeco Rose Spumante Alcohol Free,Nozeco Rosé 75cl
2600,4,one_sided,rose,Sains,Tesco,Nozeco Rosé 75cl,Nozeco Rose 750Ml
2607,4,one_sided,rose,ASDA,Morrisons,Hardys Stamp Shiraz Rosé,(VMD) Morrisons The Best Pinot Grigio Rose
2607,4,one_sided,rose,ASDA,Sains,Hardys Stamp Shiraz Rosé,Hardys Stamp Shiraz Rose 75cl
2607,4,one_sided,rose,ASDA,Tesco,Hardys Stamp Shiraz Rosé,The Straw Hat Rose 75Cl
2611,4,one_sided,rose,ASDA,Morrisons,Canti Pinot Grigio Rosé,Garganega Pinot Grigio Rose
2611,4,one_sided,rose,ASDA,Tesco,Canti Pinot Grigio Rosé,Canti Rose Extra Dry 75Cl
2611,4,one_sided,rose,Morrisons,Sains,Garganega Pinot Grigio Rose,Bread & Butter Rosé 75cl
2611,4,one_sided,rose,Sains,Tesco,Bread & Butter Rosé 75cl,Canti Rose Extra Dry 75Cl
2614,4,one_sided,rose,ASDA,Morrisons,ASDA Extra Special Crémant de Loire Rosé Brut,Kumala Rose
2614,4,one_sided,rose,ASDA,Sains,ASDA Extra Special Crémant de Loire Rosé Brut,"Sainsbury's Cremant De Loire Rose, Taste the Difference 75cl"
2614,4,one_sided,rose,ASDA,Tesco,ASDA Extra Special Crémant de Loire Rosé Brut,Gratien & Meyer Cremant De Loire Brut Rose 75Cl
2618,4,one_sided,rose,ASDA,Morrisons,Blossom Hill Rosé Wine 750ml,Myton Hill Rose
2618,4,one_sided,rose,ASDA,Sains,Blossom Hill Rosé Wine 750ml,Blossom Hill Rose 75cl
2618,4,one_sided,rose,ASDA,Tesco,Blossom Hill Rosé Wine 750ml,Blossom Hill Rose 75cl
2625,4,one_sided,rose,ASDA,Morrisons,Jam Shed Rosé,Jam Shed Rose Australia
2625,4,one_sided,rose,ASDA,Tesco,Jam Shed Rosé,Jam Shed Rose 75Cl
2625,4,one_sided,rose,Morrisons,Sains,Jam Shed Rose Australia,Jam Shed Rosé 750ml
2625,4,one_sided,rose,Sains,Tesco,Jam Shed Rosé 750ml,Jam Shed Rose 75Cl
2626,4,one_sided,rose,ASDA,Tesco,Black Tower Rosé,Shloer Rose 750Ml
2626,4,one_sided,rose,Morrisons,Tesco,Black Tower Rosé,Shloer Rose 750Ml
2626,4,one_sided,rose,Sains,Tesco,Black Tower Rosé 75cl,Shloer Rose 750Ml
2627,3,one_sided,rose,ASDA,Tesco,Thatchers Rosé Cider,Thatchers Apple Rose Cider 4X440ml Can
2627,3,one_sided,rose,Sains,Tesco,Thatchers Rosé Sweet Sparkling Somerset Cider 4x440ml,Thatchers Apple Rose Cider 4X440ml Can
2629,4,one_sided,rose,ASDA,Morrisons,Mud House Chile Sauvignon Blanc Rosé,Mud House Chile Rose
2629,4,one_sided,rose,ASDA,Tesco,Mud House Chile Sauvignon Blanc Rosé,Mud House Chile Sauvignon Blanc Rose 750Ml
