ensemble_cluster_id,supermarket,names,prices_(£),unit_value,unit_type,tier_keyword,own_brand,category
5090,Sains,Popchips Barbeque Sharing Crisps 85g,1.5,85.0,g,,False,food_cupboard
5367,ASDA,The Delicious Dessert Company Triple Chocolate Eclairs,2.25,,,,False,bakery
5367,Sains,The Delicious Dessert Company Triple Chocolate Eclairs 2x78g,2.35,156.0,g,,False,fresh_food
5367,Tesco,The Delicious Dessert Company Triple Chocolate Eclairs 2 Pack,2.25,,,,False,fresh_food
6322,ASDA,Cadbury Dairy Milk & More Caramel Nut Crunch 200g,2.0,200.0,g,,False,food_cupboard
6322,Morrisons,Cadbury Dairy Milk & More Caramel Nut Crunch,2.0,200.0,g,,False,food_cupboard
6350,ASDA,Mentos Gum Pure Fresh Tropical 50 Pieces,2.5,100.0,g,,False,food_cupboard
6350,Sains,Mentos Gum Pure Fresh Tropical x50 100g,2.8,100.0,g,,False,food_cupboard
6350,Tesco,Mentos Pure Fresh Tropical Flavour Gum 50 Pieces 100G,2.8,100.0,g,,False,food_cupboard
6767,ASDA,Indus Chilli Sauce,1.75,425.0,g,,False,food_cupboard
6767,Morrisons,Indus Chilli Sauce,1.75,425.0,g,,False,food_cupboard
7020,ASDA,Carlsberg Danish Pilsner 18 x 440ml,13.0,7920.0,ml,,False,drinks
7020,Morrisons,Carlsberg Pilsner,13.5,7941.2,ml,,False,drinks
7020,Tesco,Carlsberg Danish Pilsner Lager Beer Can 18x440ml,11.0,7920.0,ml,,False,drinks
7050,ASDA,Stella Artois Belgium Premium Lager,14.0,5000.0,ml,,False,drinks
7050,Morrisons,Stella Artois Premium Lager Beer Cans,13.5,4397.4,ml,,False,drinks
7050,Sains,Stella Artois Premium Lager Beer Cans 10x440ml,12.0,4400.0,ml,,False,drinks
7167,ASDA,ASDA Chicken & Vegetable Soup 600g,1.75,600.0,g,,True,fresh_food
7167,Tesco,Tesco Chicken & Vegetable Soup 600G,1.75,600.0,g,,True,fresh_food
7759,ASDA,Kopparberg Premium Cider Spiced Apple 500ml,2.0,500.0,ml,,False,drinks
7759,Morrisons,Kopparberg Spiced Apple,2.5,500.0,ml,,False,drinks
7759,Sains,Kopparberg Premium Cider Spiced Apple 500ml,1.5,500.0,ml,,False,free-from
7759,Tesco,Kopparberg Spiced Apple 500ml,1.75,500.0,ml,,False,drinks
7766,ASDA,Bud Light Beer 20 x 300ml,14.0,6000.0,ml,,False,drinks
7766,Tesco,Bud Light Beer 20x300ml,10.0,6000.0,ml,,False,drinks
7789,ASDA,ASDA Unsmoked Gammon Joint (Typically 1.8kg),12.24,1800.0,g,,True,fresh_food
7789,Morrisons,Morrisons Small Unsmoked Natural Gammon Joint,10.83,1549.4,g,,True,fresh_food
7789,Sains,Sainsbury's Unsmoked Medium Gammon Joint 1.618kg,10.62,1618.0,g,,True,fresh_food
8315,Morrisons,Ginsters Butter Chicken Bake,1.0,120.0,g,,False,fresh_food
8315,Sains,Ginsters Butter Chicken Bake 117g,1.5,117.0,g,,False,fresh_food
