cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
674,1,1,ASDA,fresh_food,branded,Marmite,,190.0,g,,Oven Baked Peanuts,,
675,1,1,Sains,fresh_food,branded,Young's,,440.0,g,4.0,Breaded Cod Fillets,,
676,1,1,Tesco,drinks,branded,Jam Shed,,750.0,ml,,Australian Chardonnay,,
677,1,1,Sains,food_cupboard,branded,Kellogg's,,500.0,g,,Wheats Apricot Breakfast Cereal,,
678,1,1,Morrisons,fresh_food,own_brand,,standard,450.0,g,,Honey Skyr,,
679,1,1,Sains,food_cupboard,own_brand,,dietary,40.0,g,,Chicken Casserole Recipe Mix,,
680,1,1,Sains,food_cupboard,branded,Cadbury,,110.0,g,,Dairy Milk Orange Giant Buttons Chocolate Bag,,
681,1,1,ASDA,drinks,own_brand,,standard,,,,Sipper Bottle - Grey,,
682,1,1,Sains,fresh_food,unbranded,,,360.0,g,6.0,OaYeah! Feelgood Original Large Pancakes,,
683,1,1,Sains,free-from,branded,Muller,,124.0,g,,Corner Vanilla Yogurt With Chocolate Digestive Biscuits,,
684,1,1,Tesco,food_cupboard,own_brand,,standard,150.0,ml,,Oyster Sauce,,
685,1,1,ASDA,drinks,branded,Carlsberg,,7920.0,ml,18.0,Danish Pilsner,,
686,1,1,ASDA,free-from,branded,New York Bakery Co,,,,,4 Soft Seeded Bagel Thins,,
687,1,1,Sains,fresh_food,unbranded,,,,,,Large Dianthus Ceramic,,
688,1,1,Sains,free-from,unbranded,,,500.0,g,,Renourish Immunity Kale Spinach and Turmeric Soup,,
689,1,1,Sains,drinks,own_brand,,standard,1500.0,ml,6.0,Fruit Slurps Orange Juice Drink,,
690,1,1,Morrisons,food_cupboard,branded,Heinz,,130.0,g,,Double Concen…,,
691,1,1,Tesco,frozen,branded,Magnum,,330.0,ml,6.0,Mini White Chocolate and White Chocolate Almond Ice Cream Sticks,,
692,1,1,ASDA,fresh_food,branded,Benecol,,400.0,g,,Blueberry,,
693,1,1,Morrisons,food_cupboard,own_brand,,standard,400.0,g,,Stewed Steak,,
694,1,1,Sains,free-from,unbranded,,,0.4,g,60.0,Vitabiotics Ultra Garlic Extract Tablets,,
695,1,1,Sains,drinks,branded,Brooklyn Brewery,,440.0,ml,4.0,Pilsner Crisp Lager,,
696,1,1,Sains,free-from,unbranded,,,105.0,g,,This Isn't Streaky Bacon Rashers,,
697,1,1,ASDA,fresh_food,own_brand,,standard,500.0,g,,Tomato and Pepperoni Pasta Salad,,
698,1,1,Tesco,fresh_food,own_brand,,standard,220.0,g,,Baby Spinach,,
699,1,1,Sains,food_cupboard,own_brand,,dietary,375.0,g,,Mediterranean Vegetable Pasta For 1,,
700,1,1,ASDA,fresh_food,unbranded,,,250.0,g,,Captain Cook Dry Salted Skinless and Boneless Salt Fish,,
701,1,1,Morrisons,food_cupboard,branded,Cofresh,,200.0,g,,London Mix,,
702,1,1,Sains,food_cupboard,own_brand,,standard,90.0,g,,Sun Dried Tomato Paste,,
703,1,1,Morrisons,food_cupboard,branded,Cantu,,450.0,g,,Shea Butter Leave-In Co…,,
704,1,1,Sains,free-from,unbranded,,,1320.0,ml,4.0,Lucky Saint Hazy IPA Can,,
705,1,1,ASDA,food_cupboard,branded,Ainsley Harriott,,65.8,g,,Goan Spiced Chicken Cup Soup,,
706,1,1,Morrisons,fresh_food,own_brand,,standard,500.0,g,,Trimmed Leeks,,
707,1,1,Sains,drinks,branded,Brooklyn Brewery,,3960.0,ml,12.0,Brooklyn Pilsner Crisp Lager Beer,,
708,1,1,ASDA,food_cupboard,own_brand,,value,386.7,g,,Custard,,
709,1,1,Sains,drinks,own_brand,,standard,1000.0,ml,,High Juice Blackcurrant Squash,,
710,1,1,Sains,drinks,branded,Fever-tree,,1000.0,ml,4.0,Sparkling Mexican Lime,,
711,1,1,Morrisons,drinks,branded,Wolf Blass,,750.0,ml,,Red Label Shiraz Cabernet,,
712,1,1,ASDA,food_cupboard,own_brand,,standard,125.0,g,,Scottish Mackerel Fillets in Brine,,
713,1,1,Tesco,drinks,unbranded,,,500.0,ml,,Jägermeister Cold Brew Coffee Liqueur,,
714,1,1,Sains,food_cupboard,unbranded,,,392.0,g,,Grant's Premium Stewed Steak,,
715,1,1,Tesco,drinks,branded,Shloer,,750.0,ml,,Winter Spiced Punch Sparkling,,
716,1,1,ASDA,drinks,unbranded,,,750.0,ml,,Greasy Fingers Luscious Red,,
717,1,1,Sains,food_cupboard,branded,Ambrosia,,150.0,g,,Devon Custard Pot,,
718,1,1,Sains,drinks,branded,Bacardi,,700.0,ml,,Caribbean Spiced Premium Rum,,
719,1,1,Sains,bakery,own_brand,,premium,,,,Fruity Hot Cross Buns,,
720,1,1,Sains,food_cupboard,branded,Maille,,215.0,g,,Dijon Original Mustard,,
721,1,1,Tesco,drinks,branded,Old Mout,,1320.0,ml,4.0,Berries and Cherries Flavoured Cider,,
722,1,1,Tesco,frozen,own_brand,,standard,600.0,g,,Double Chocolate Gateau,,
723,1,1,ASDA,frozen,unbranded,,,200.0,g,,Whitby Seafoods Wholetail Scampi,,
724,1,1,Sains,food_cupboard,own_brand,,standard,130.0,g,,Salt and Vinegar Corn and Rice Cakes,,
725,1,1,Morrisons,drinks,branded,Blossom Hill,,187.0,ml,,White Wine,,
726,1,1,ASDA,fresh_food,own_brand,,premium,290.1,g,2.0,Cod Fishcakes with Roasted Tomato and Mozzarella,,
727,1,1,ASDA,drinks,unbranded,,,200.0,g,,Options Belgian Hot Choc,,
728,1,1,Tesco,food_cupboard,unbranded,,,45.0,g,,Mccoy's Epic Eats Nacho Cheese Crisps,,
729,1,1,ASDA,food_cupboard,branded,Reese's,,90.0,g,,Peanut Butter Bar,,
730,1,1,Tesco,food_cupboard,unbranded,,,45.0,g,,Cheezees Jalapeno,,
731,1,1,Morrisons,fresh_food,own_brand,,standard,400.0,g,,All Day Breakfast,,
732,1,1,Morrisons,fresh_food,own_brand,,standard,500.0,g,,Slow Cooked Bourbon…,,
733,1,1,Morrisons,food_cupboard,unbranded,,,600.0,g,,Sweeties Jelly Mix,,
734,1,1,Sains,drinks,branded,Singha,,630.0,ml,,Premium Thai Lager,,
735,1,1,ASDA,drinks,own_brand,,premium,750.0,ml,,Côtes de Gascogne,,
736,1,1,Tesco,food_cupboard,branded,Al'fez,,150.0,g,,Falafel,,
737,1,1,Morrisons,drinks,own_brand,,standard,2250.0,ml,,Cola Zero Sugar,,
738,1,1,Sains,fresh_food,own_brand,,standard,,,,Cantaloupe Melon,,
739,1,1,ASDA,drinks,branded,Tassimo,,110.0,g,12.0,Costa Americano Coffee Pods,,
740,1,1,Tesco,food_cupboard,branded,Sharwoods,,150.0,ml,,Real Oyster Sauce,,
741,1,1,Morrisons,food_cupboard,unbranded,,,1100.0,g,,McDougalls Self Raising Flour,,
742,1,1,Sains,food_cupboard,branded,Ben's Original,,250.0,g,,One Pan Creations Spanish Paella Style,,
743,1,1,ASDA,drinks,unbranded,,,1000.0,ml,,TRIP CBD Infused Peach Ginger Cans,,
744,1,1,Tesco,food_cupboard,own_brand,,standard,55.0,g,,Instant Oats Cinnamon Porridge,,
745,1,1,Morrisons,drinks,unbranded,,,10.0,ml,,Vampire Vape Pinkman 6mg,,
746,1,1,Tesco,frozen,branded,Little Moons,,192.0,g,6.0,Refreshos Blood Orange and Pink Grapefruit Mochi Sorbet,,
747,1,1,Sains,free-from,unbranded,,,220.0,g,,VFC Original Recipe Crispy Popcorn Chicken,,
748,1,1,Tesco,bakery,own_brand,,standard,,,,Cinnamon Tear And Share Bun,,
749,1,1,ASDA,fresh_food,own_brand,,premium,500.0,g,,Authentic Greek Yogurt,,
750,1,1,Tesco,food_cupboard,branded,Kellogg's,,660.0,g,,Rice Krispies Cereal,,
751,1,1,Morrisons,drinks,branded,Thatchers,,1750.0,ml,,Somerset Haze Cider Cans,,
752,1,1,Tesco,fresh_food,unbranded,,value,125.0,g,,Wafer Thin Cooked Ham,,
753,1,1,ASDA,drinks,unbranded,,,700.0,ml,,Aberlour 12 Years Old Speyside Single Malt Scotch Whisky,,
754,1,1,ASDA,food_cupboard,branded,Blue Dragon,,150.0,ml,,Oyster Sauce,,
755,1,1,ASDA,fresh_food,own_brand,,premium,240.0,g,,Oak Smoked Back Bacon Dry Cured 8 Rashers,,
756,1,1,ASDA,drinks,own_brand,,standard,,,,Cat Dad Single Mug,,
757,1,1,Morrisons,fresh_food,own_brand,,premium,175.0,g,2.0,Smoked Salmon Verrines,,
758,1,1,Sains,drinks,unbranded,,,60.0,ml,,Unrooted Good Gut Apple Cider Vinegar and Ginger Shot,,
759,1,1,Tesco,fresh_food,own_brand,,standard,500.0,g,,Red Seedless Grapes,,
760,1,1,Morrisons,frozen,own_brand,,standard,400.0,g,,Italian Sausage Pasta Bake,,
761,1,1,ASDA,drinks,unbranded,,,750.0,ml,,Nicolas Feuillatte Champagne Sélection Brut,,
762,1,1,Morrisons,free-from,own_brand,,dietary,300.0,g,,Rice Pops,,
